player_id,source_url,name,pos,year,college,ras,alltime_ras,source
549,https://ras.football/ras-information/?PlayerID=549,John Rhys Plumlee,QB,2024,Central Florida,8.81,8.87,ras.football/ras-main-table
899,https://ras.football/ras-information/?PlayerID=899,K.J. Hill,WR,2020,Ohio State,3.89,4.15,ras.football/ras-main-table
1466,https://ras.football/ras-information/?PlayerID=1466,Gardner Minshew,QB,2019,Washington State,5.93,5.78,ras.football/ras-main-table
2019,https://ras.football/ras-information/?PlayerID=2019,Jason Poe,OG,2022,Mercer,9.43,9.35,ras.football/ras-main-table
2188,https://ras.football/ras-information/?PlayerID=2188,Kyle Shurmur,QB,2019,Vanderbilt,4.24,4.10,ras.football/ras-main-table
4110,https://ras.football/ras-information/?PlayerID=4110,Al Harris,CB,2016,Texas AM Kingsville,,,ras.football/ras-main-table
4458,https://ras.football/ras-information/?PlayerID=4458,Taylor Cornelius,QB,2019,Oklahoma State,9.74,9.78,ras.football/ras-main-table
4494,https://ras.football/ras-information/?PlayerID=4494,LeVante Bellamy,RB,2020,Western Michigan,6.49,6.71,ras.football/ras-main-table
4664,https://ras.football/ras-information/?PlayerID=4664,Trevor Lawrence,QB,2021,Clemson,,,ras.football/ras-main-table
5245,https://ras.football/ras-information/?PlayerID=5245,Aaron Fields,DE,2000,Troy,7.65,6.28,ras.football/ras-main-table
5246,https://ras.football/ras-information/?PlayerID=5246,Aaron Humphrey,DE,2000,Texas,4.33,3.59,ras.football/ras-main-table
5247,https://ras.football/ras-information/?PlayerID=5247,Aaron Shea,TE,2000,Michigan,9.67,9.10,ras.football/ras-main-table
5248,https://ras.football/ras-information/?PlayerID=5248,Adalius Thomas,LB,2000,Southern Mississippi,9.92,9.82,ras.football/ras-main-table
5249,https://ras.football/ras-information/?PlayerID=5249,Adam Davis,OG,2000,Oklahoma State,0.50,0.82,ras.football/ras-main-table
5250,https://ras.football/ras-information/?PlayerID=5250,Adrian Klemm,OT,2000,Hawaii,,,ras.football/ras-main-table
5251,https://ras.football/ras-information/?PlayerID=5251,Ahmed Plummer,DB,2000,Ohio State,,,ras.football/ras-main-table
5252,https://ras.football/ras-information/?PlayerID=5252,Al Jackson,OG,2000,Louisiana State,,,ras.football/ras-main-table
5253,https://ras.football/ras-information/?PlayerID=5253,Al Lucas,DT,2000,Troy,8.83,8.37,ras.football/ras-main-table
5254,https://ras.football/ras-information/?PlayerID=5254,Alfonso Boone,DT,2000,Mt. San Antonio JC,,,ras.football/ras-main-table
5255,https://ras.football/ras-information/?PlayerID=5255,Alvin McKinley,DT,2000,Mississippi State,7.01,5.94,ras.football/ras-main-table
5256,https://ras.football/ras-information/?PlayerID=5256,Andre ONeal,LB,2000,Marshall,6.31,5.56,ras.football/ras-main-table
5257,https://ras.football/ras-information/?PlayerID=5257,Andrew Kline,OG,2000,San Diego State,5.00,5.02,ras.football/ras-main-table
5258,https://ras.football/ras-information/?PlayerID=5258,Andy Vincent,OG,2000,Texas A&M,9.04,8.23,ras.football/ras-main-table
5259,https://ras.football/ras-information/?PlayerID=5259,Anthony Becht,TE,2000,West Virginia,10.00,9.98,ras.football/ras-main-table
5260,https://ras.football/ras-information/?PlayerID=5260,Anthony Lucas,WR,2000,Arkansas,9.29,7.04,ras.football/ras-main-table
5261,https://ras.football/ras-information/?PlayerID=5261,Anthony Malbrough,CB,2000,Texas Tech,8.83,7.17,ras.football/ras-main-table
5262,https://ras.football/ras-information/?PlayerID=5262,Anthony Midget,DB,2000,Virginia Tech,,,ras.football/ras-main-table
5263,https://ras.football/ras-information/?PlayerID=5263,Anthony White,RB,2000,Kentucky,6.44,5.91,ras.football/ras-main-table
5264,https://ras.football/ras-information/?PlayerID=5264,Antonio Wilson,LB,2000,Texas A&M-Commerce,8.83,8.92,ras.football/ras-main-table
5265,https://ras.football/ras-information/?PlayerID=5265,Antwan Harris,CB,2000,Virginia,9.65,9.22,ras.football/ras-main-table
5266,https://ras.football/ras-information/?PlayerID=5266,Aric Morris,SS,2000,Michigan State,,,ras.football/ras-main-table
5267,https://ras.football/ras-information/?PlayerID=5267,Arturo Freeman,FS,2000,South Carolina,7.57,5.94,ras.football/ras-main-table
5268,https://ras.football/ras-information/?PlayerID=5268,Ashley Cooper,SS,2000,Mississippi State,5.16,4.50,ras.football/ras-main-table
5269,https://ras.football/ras-information/?PlayerID=5269,Austin Wheatley,TE,2000,Iowa,9.83,9.61,ras.football/ras-main-table
5270,https://ras.football/ras-information/?PlayerID=5270,Avion Black,WR,2000,Tennessee State,,,ras.football/ras-main-table
5271,https://ras.football/ras-information/?PlayerID=5271,Barrett Green,LB,2000,West Virginia,9.17,8.67,ras.football/ras-main-table
5272,https://ras.football/ras-information/?PlayerID=5272,Bashir Yamini,WR,2000,Iowa,9.64,8.48,ras.football/ras-main-table
5273,https://ras.football/ras-information/?PlayerID=5273,Ben Kelly,CB,2000,Colorado,7.60,5.82,ras.football/ras-main-table
5274,https://ras.football/ras-information/?PlayerID=5274,Bill Burke,QB,2000,Michigan State,4.86,2.21,ras.football/ras-main-table
5275,https://ras.football/ras-information/?PlayerID=5275,Bobbie Williams,OG,2000,Arkansas,8.08,7.64,ras.football/ras-main-table
