RD,#,Order,Bullard ,Kurt,Rugg,Dusty,Foss,Key
,,,,,,,,
2026,,,,,,,,&& Wasn’t Available at this pick
,,,,,,,,
,,,,,,,,### Took extra player
,,,,,,,,
,,,,,,,,
,,,,,,,,"$ = a pick that ""Hit"""
,,,Trades,Kurt Trades ED Mike Green and 4th,"to Bull for ED J Stewart, QB Sanders, 6th in 26",,,
,,,,,,,,
,,,,,,,,"Rds 1 and 2 must be a starter (over 4) in 3 of first 5 years to ""hit"""
2025,,,Order is,"(Foss, Dusty, Rugg, Bull, Kurt)",,,,
,,,,,,,,"Rds 3 thru 5 must be starter in 2 of first 5 years to ""hit"""
1,21," 1,2,3,4,5",WR Jayden Higgins (1),RB Omarion Hampton (1),QB Jaxson Dart (1),DT Derrick Harmon (1),LB Jihaad Campbell (1),
2,53,"5,4,3,2,1",CB Benjamin Morrison,ED Mike Green,CB Shavon Revel Jr,DT Darius Alexander,OT Ozzy Trapilo (1),"Rds 6 - later just need 1 year as starter in first 5 years to be a ""hit"""
3,85,"4,3,2,1,5",ED Josaiah Stewart,OG Emery Jones,S Xavier Watts (1),C Jared Wilson (1),OT Charles Grant,
3,C,"4, 3,2,5,1",DT CJ West,,S Lathan Ransom (1),RB Cam Skattebo (1),RB Bhaysaul Tuten,
3,102  CE,"3,2,1,5,4",DT Joshua Farmer,LB Cody Simon,OG Miles Frazier,WR Jalen Royals,ED Jack Sawyer,
3,CET,,TE Gunna Helm (1),,,,,
4,123,"2,1,5,4,3",QB Shedeur Sanders (1),S Malachi Moore (1),DT Tyrion Ingram-Dawkins,WR Elic Ayomanor (1),WR Jaylin Lane (1),
4,138  C,"5, 1, 4, ",RB DJ Giddens,ED Bradyn Swinson,,,DT Rylie Mills,
5,159,"1,5,4,3,2",OG Jackson Slater,,DT JJ Pegues,LB Smael Mondon,TE Mitchell Evans  (1),
5,159 T,,LB Chris Paul Jr,,,,,
5,176  C,"2,1,3,5,4, ",RB Devin Neal,CB Marcus Harris,OT Myles Hinton,QB Will Howard,S Jaylen Reed,
6,197,"5,4,3,2,1",DT Aeneas Peebles,OT Camerone Williams,OT Chase Lundt,S RJ Mickens $,LB Kobe King,
6,216  C,1,,,,,RB Brashard Smith,
7,237,"4,3,2,1,5",WR Isiah Bond,ED Jared Ivey,OG Garrett Dellinger,TE Moliki Matavao,DT Zeek Biggers,
7,257 C,1,,,,,WR Elijah Badger,
UN,258,"3,2,1,5,4",LB Shaun Dolac,OT Logan Brown,LB Jay Higgins,S Tommi Hill,ED Jah Joyner,
UN,,"2,1,5,4,3",CB Cobee Bryant,S JJ Roberts,C Willie Lampkin,C Seth McLaughlin,CB Zy Alexander,
UN,,"1,5,4,3,2",OG Joshua Gray,TE Jake Briningstool,OG Luke Kandra,OG Joe Huber,DT Simeon Barrow,
,,,,,,,,
,,,Trades,Kurt Trades 3C and 5 to Bull for OG Dotson,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2024,,,Order is,"(Foss, Rugg, Kurt, Dusty, Bull)",,,,
,,,,,,,,
1,10,"1,2,3,4,5",ED Laiatu Latu Ind (1),DT Byron Murphy Sea (2),TE Brock Bowers Lvr (2),ED Dallas Turner Min (1),QB JJ McCarthy Min (1),
2,42,"5,4,3,2,1",WR Adonai Mitchell Ind,CB Kamari Lassiter Hou (2),S Javon Bullard Gb (2),RB Jonathon Brooks Car,C Jackson Powers-Johnson Lvr (2),
3,74,"4,3,2,1,5",WR Javon Baker Ne,S Calen Bullock Hou $,OT Kiran Amegadjie Chi,LB Payton Wilson Pit $,ED Bralen Trice Atl,
3,C 100,"4,1",,,,TE Ja'Tavion Sanders Car (2),WR Troy Franklin Den $,
4,110,"3,2,1,5,4",G Mason McCormick Pit $,RB Jaylen Wright Mia,CB Tj Tampa Bal,S Jaden Hicks Kc,CB Kris Abrams-Draine Den,
4,C 135,"5,2,1,4",CB Cam Hart Lac $,,G Sedrick Van Pran-Granger Buf,LB Jd Bertrand Atl,LB Jeremiah Trotter Jr Phi,
4,C 135,"2,5",CB Jarvis Brownlee Ten $,,QB Spencer Rattler No $,,,
4,CE 135,"2,1,5,4,3",ED Xavier Thomas Arz,WR Jacob Cowing Sf,ED Mohammed Kamara Mia,OT Christian Jones Arz,LB Jordan Magee Was (1),
5,145,"1,5,4,3,2",RB Rasheed Ali Bal,WR Malik Washington Mia,DT Mekhi Wingo Det,S Kitan Oladapo Gb,CB Josh Newton Cin (1),
5,C 176,"4,1",,,,WR Johnny Wilson Phi (1),RB Kimani Vidal Lac (1),
6,186," 5,4,3,2,1",TE Tanner McLachlan Cin,CB Dj James Sea,LB Nathaniel Watson Cle,DT Tyler Davis Lar,DT Khristian Boyd No,
6,C 220,"3,1,4",,DT Leonard Taylor Nyj,,WR Brendan Rice Lac,ED Gabriel Murphy Min,
7,230,"4,3,2,1,5",OG KT Leveston Lar $,DT Levi Drake Rodriguez Min,QB Michael Pratt Gb,LB Curtis Jacobs Kc,TE Jaheim Bell Ne,
7,C 257,"4,1",,,,OG Javion Cohen Cle,CB Dwight McGlothern Min,
UN,258," 3,2,1,5,4",OT Garret Greenfield Sea,TE Dallin Holker No, ,ED Trajan Jeffcoat,DT Gabe Hall Phi,
UN,258,"2,1,5,4,3",OT Frank Crum Den,RB Blake Watson Den, ,DT Fabien Lovett Kc,C Charles Turner Ne,
UN,258,"1,5,4,3,2",S Millard Bradford No,WR Isiah Williams Det, ,QB Sam Hartman Was,ED Nelson Ceasar Sea,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2023,,,Order is,"(Arron, Kurt, Rugg, Dusty)",,,,
,,,,,,,,
1,11,,CB Christian Gonzalez Ne $,LB Jack Campbell Det $,WR Jaxson Smith-Njigba Sea (2),OT Peter Skoronski Ten $,QB Will Levis Ten (2),
2,,,DT Keeanu Benton Pit $,TE Luke Musgrave Gb (2),DT Gervon Dexter Sr Chi (2),OT Cody Mauch Tb (2),S Brian Branch Det $,
3,,,S Ji'Ayir Brown Sf $,WR Cedric Tillman Cle $,S Jordan Battle Cin $,Ed Zach Harrison Atl (1), TE Darnell Washington Pit $,
