test_year,train_years,shrink_train_years,validation_years,feature_set,apex_plus_factor,n_all,n_drafted,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,apex_raw_spearman_all,apex_raw_spearman_drafted,apex_raw_hit_auc_drafted,apex_raw_precision_at_32,apex_raw_precision_at_64,apex_raw_ndcg_at_32,apex_raw_ndcg_at_64,apex_plus_spearman_all,apex_plus_spearman_drafted,apex_plus_hit_auc_drafted,apex_plus_precision_at_32,apex_plus_precision_at_64,apex_plus_ndcg_at_32,apex_plus_ndcg_at_64,delta_raw_vs_pick_spearman_drafted,delta_market_vs_pick_spearman_drafted,delta_plus_vs_pick_spearman_drafted,delta_plus_vs_raw_spearman_drafted,delta_plus_vs_market_spearman_drafted
2011,<= 2010,<= 2008,2009-2010,profile,3.5,365,236,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.8056,0.5909,0.8314,0.625,0.375,0.9392,0.9104,0.7894,0.5494,0.8265,0.5938,0.3906,0.9089,0.8986,-0.0228,-0.0094,-0.0644,-0.0416,-0.055
2012,<= 2011,<= 2009,2010-2011,profile,3.5,365,233,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.7999,0.588,0.782,0.5,0.3594,0.9001,0.8953,0.7836,0.53,0.7475,0.4375,0.3438,0.8866,0.8889,0.0047,0.0071,-0.0532,-0.058,-0.0604
2013,<= 2012,<= 2010,2011-2012,profile,3.5,370,241,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.7942,0.5835,0.7914,0.4062,0.375,0.8898,0.9112,0.7805,0.5477,0.7687,0.375,0.3281,0.8806,0.8891,0.0071,0.0085,-0.0287,-0.0358,-0.0372
2014,<= 2013,<= 2011,2012-2013,profile,3.5,365,243,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8002,0.6155,0.8214,0.5,0.375,0.9187,0.9086,0.7994,0.6201,0.8247,0.5312,0.3281,0.9241,0.8989,0.0405,0.0231,0.045,0.0046,0.022
2015,<= 2014,<= 2012,2013-2014,profile,3.5,732,245,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7336,0.6084,0.8223,0.75,0.6719,0.9625,0.95,0.7339,0.621,0.8421,0.8125,0.6562,0.9558,0.9475,0.0305,0.0073,0.0432,0.0126,0.0358
2016,<= 2015,<= 2013,2014-2015,profile,3.5,454,246,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8297,0.5889,0.7929,0.5312,0.4219,0.9256,0.9137,0.8206,0.551,0.7647,0.4062,0.375,0.9094,0.8974,0.0156,0.0077,-0.0223,-0.0379,-0.0299
2017,<= 2016,<= 2014,2015-2016,profile,3.5,582,237,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7855,0.5921,0.7826,0.5938,0.5156,0.9386,0.9432,0.776,0.5466,0.7677,0.5625,0.5156,0.9255,0.9304,0.0158,0.0124,-0.0296,-0.0455,-0.042
2018,<= 2017,<= 2015,2016-2017,profile,3.5,589,240,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8169,0.6564,0.8232,0.7812,0.5312,0.9633,0.9498,0.8141,0.6246,0.8023,0.7188,0.5469,0.9528,0.9477,0.0267,0.0224,-0.0051,-0.0318,-0.0275
2019,<= 2018,<= 2016,2017-2018,profile,3.5,640,234,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7745,0.6309,0.8429,0.8125,0.5938,0.9655,0.9541,0.7743,0.6261,0.8383,0.7812,0.625,0.956,0.9542,0.0229,0.0074,0.0182,-0.0047,0.0108
2020,<= 2019,<= 2017,2018-2019,profile,3.5,325,209,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8312,0.5946,0.8534,0.4688,0.3906,0.8948,0.92,0.8253,0.5745,0.8358,0.375,0.375,0.8868,0.909,-0.0105,-0.0117,-0.0306,-0.0201,-0.0189
2021,<= 2020,<= 2018,2019-2020,profile,3.5,403,199,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8124,0.6109,0.8189,0.5625,0.4375,0.9326,0.9199,0.8143,0.6159,0.8028,0.5938,0.4375,0.9221,0.9285,0.0252,0.0123,0.0302,0.005,0.0179
