test_year,n_top100,bust_rate,auc_pick_only,auc_model,flag10_precision_pick_only,flag10_precision_model
2011,99,0.2121,0.7082,0.7369,0.4,0.7
2012,93,0.172,0.6433,0.6867,0.1,0.2
2013,98,0.1633,0.798,0.737,0.6,0.3
2014,95,0.1684,0.6974,0.6495,0.1,0.3
2015,94,0.1915,0.7094,0.7288,0.3,0.5
2016,99,0.2525,0.7162,0.6935,0.6,0.3
2017,94,0.2021,0.7519,0.7382,0.3,0.3
2018,96,0.1458,0.6877,0.6585,0.2,0.3
2019,94,0.1809,0.6379,0.7036,0.2,0.4
2020,90,0.2,0.6833,0.7253,0.5,0.4
2021,75,0.1467,0.6847,0.7855,0.4,0.4
