trait,base_bust_rate,worst_bucket,worst_bucket_bust_rate,best_bucket,best_bucket_bust_rate,spread,n
log_consensus_rank_z,0.1978,"(-0.86, 0.129]",0.3341,"(-4.001, -2.112]",0.0357,0.2984,1957
espn_grade_z,0.1978,"(0.0465, 0.96]",0.3295,"(1.946, 2.857]",0.0442,0.2854,1957
age,0.1978,"(23.0, 28.0]",0.2593,"(19.999, 21.0]",0.1349,0.1244,1946
col_enc,0.1978,"(0.41, 0.491]",0.2723,"(0.528, 0.545]",0.1559,0.1164,1957
agility_z,0.1978,"(-0.647, -0.208]",0.233,"(-3.956, -0.647]",0.1268,0.1062,1957
college_games_z,0.1978,"(0.574, 0.955]",0.2222,"(-1.0, -0.222]",0.1397,0.0825,1957
weight_z,0.1978,"(-4.001, -0.568]",0.2424,"(0.309, 0.829]",0.1726,0.0698,1957
consensus_vs_pick_z,0.1978,"(-0.72, -0.0137]",0.2358,"(0.903, 4.0]",0.1667,0.0692,1957
explosion_z,0.1978,"(-3.8899999999999997, -0.542]",0.227,"(-0.542, -0.0117]",0.1633,0.0638,1957
speed_score_z,0.1978,"(-2.518, -0.294]",0.2219,"(1.24, 4.0]",0.1633,0.0587,1957
bmi_z,0.1978,"(-4.001, -0.674]",0.2219,"(0.754, 4.0]",0.1633,0.0587,1957
broad_z,0.1978,"(-4.001, -0.508]",0.227,"(-0.508, -0.00694]",0.1716,0.0554,1957
vert_leap_z,0.1978,"(-3.013, -0.582]",0.2239,"(1.151, 3.24]",0.1753,0.0487,1957
bench_z,0.1978,"(-0.0703, 0.331]",0.2112,"(-0.6, -0.0703]",0.1706,0.0406,1957
height_z,0.1978,"(0.924, 3.298]",0.2128,"(0.387, 0.924]",0.1748,0.038,1957
dash_z,0.1978,"(0.318, 4.0]",0.202,"(-1.132, -0.64]",0.1923,0.0097,1957
