test_year,pos_g,feature_set,n,pick_only_spearman,market_spearman,apex_raw_spearman,apex_plus_spearman,delta_raw_vs_pick,delta_plus_vs_pick,shrink
2011,DB,profile_plus_consensus,51,0.5123,0.5088,0.3296,0.0192,-0.1827,-0.4931,1.0
2011,DT,profile_plus_consensus,20,0.4789,0.4789,0.5392,0.5302,0.0603,0.0513,0.6
2011,LB,profile_plus_consensus,30,0.4825,0.4825,0.4599,0.5015,-0.0226,0.019,0.3
2011,OL,profile_plus_consensus,39,0.5735,0.5566,0.3932,0.1381,-0.1803,-0.4354,0.7
2011,RB,profile_plus_consensus,28,0.5779,0.5779,0.613,0.6075,0.0352,0.0296,0.4
2011,WR,profile_plus_consensus,25,0.5216,0.5216,0.4827,0.4885,-0.0389,-0.0331,0.4
2012,DB,profile_plus_consensus,50,0.4627,0.489,0.3896,0.164,-0.0732,-0.2987,0.9
2012,DT,profile_plus_consensus,20,0.5397,0.5397,0.5375,0.5352,-0.0022,-0.0044,0.2
2012,LB,profile_plus_consensus,29,0.7675,0.7566,0.7566,0.7566,-0.0109,-0.0109,0.0
2012,OL,profile_plus_consensus,43,0.6565,0.6576,0.6576,0.6576,0.0012,0.0012,0.0
2012,RB,profile_plus_consensus,20,0.4333,0.4333,0.4551,0.312,0.0219,-0.1212,1.0
2012,WR,profile_plus_consensus,33,0.5032,0.5009,0.5009,0.5009,-0.0023,-0.0023,0.0
2013,DB,profile_plus_consensus,52,0.543,0.5448,0.5448,0.5448,0.0018,0.0018,0.0
2013,DT,profile_plus_consensus,20,0.7002,0.7002,0.7173,0.6946,0.0171,-0.0055,0.2
2013,EDGE,profile_plus_consensus,24,0.5232,0.5232,0.5474,0.3294,0.0242,-0.1938,0.4
2013,LB,profile_plus_consensus,25,0.5317,0.5428,0.5428,0.5428,0.0111,0.0111,0.0
2013,OL,profile_plus_consensus,39,0.5939,0.5939,0.5939,0.5939,0.0,0.0,0.0
2013,RB,profile_plus_consensus,26,0.3863,0.3863,0.3965,0.354,0.0102,-0.0323,0.1
