test_year,train_years,shrink_train_years,validation_years,feature_set,apex_plus_factor,n_all,n_drafted,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,apex_raw_spearman_all,apex_raw_spearman_drafted,apex_raw_hit_auc_drafted,apex_raw_precision_at_32,apex_raw_precision_at_64,apex_raw_ndcg_at_32,apex_raw_ndcg_at_64,apex_plus_spearman_all,apex_plus_spearman_drafted,apex_plus_hit_auc_drafted,apex_plus_precision_at_32,apex_plus_precision_at_64,apex_plus_ndcg_at_32,apex_plus_ndcg_at_64,delta_raw_vs_pick_spearman_drafted,delta_market_vs_pick_spearman_drafted,delta_plus_vs_pick_spearman_drafted,delta_plus_vs_raw_spearman_drafted,delta_plus_vs_market_spearman_drafted
2011,<= 2010,<= 2008,2009-2010,profile_plus_consensus,3.5,365,236,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7928,0.5554,0.8292,0.625,0.3594,0.933,0.9061,0.7279,0.3857,0.7878,0.5,0.375,0.8078,0.8231,-0.0583,-0.0094,-0.228,-0.1697,-0.2186
2012,<= 2011,<= 2009,2010-2011,profile_plus_consensus,3.5,365,233,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.7976,0.573,0.7776,0.4688,0.3594,0.897,0.8946,0.7588,0.4404,0.703,0.375,0.2812,0.8392,0.8382,-0.0102,0.0071,-0.1428,-0.1326,-0.15
2013,<= 2012,<= 2010,2011-2012,profile_plus_consensus,3.5,370,241,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.7977,0.5838,0.7926,0.4062,0.375,0.882,0.9063,0.7894,0.5604,0.7756,0.375,0.375,0.8771,0.8962,0.0074,0.0085,-0.016,-0.0234,-0.0245
2014,<= 2013,<= 2011,2012-2013,profile_plus_consensus,3.5,365,243,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8039,0.6187,0.8187,0.5,0.3594,0.9184,0.9112,0.7958,0.6029,0.8066,0.5312,0.3438,0.9326,0.9124,0.0437,0.0231,0.0278,-0.0159,0.0048
2015,<= 2014,<= 2012,2013-2014,profile_plus_consensus,3.5,732,245,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7386,0.5982,0.8244,0.8125,0.6562,0.9671,0.9562,0.7209,0.5233,0.804,0.6562,0.5781,0.8973,0.9136,0.0203,0.0073,-0.0546,-0.0749,-0.0619
2016,<= 2015,<= 2013,2014-2015,profile_plus_consensus,3.5,454,246,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8293,0.5849,0.7946,0.5312,0.4219,0.9265,0.9131,0.8223,0.5565,0.7716,0.4688,0.3594,0.8641,0.8704,0.0116,0.0077,-0.0168,-0.0284,-0.0245
2017,<= 2016,<= 2014,2015-2016,profile_plus_consensus,3.5,582,237,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7885,0.5956,0.7848,0.5938,0.5312,0.9382,0.9432,0.7808,0.5681,0.78,0.5312,0.5312,0.9214,0.9384,0.0194,0.0124,-0.0081,-0.0275,-0.0205
2018,<= 2017,<= 2015,2016-2017,profile_plus_consensus,3.5,589,240,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8212,0.6532,0.8238,0.7812,0.5312,0.9626,0.9471,0.8073,0.5874,0.7935,0.7188,0.5156,0.924,0.9313,0.0235,0.0224,-0.0423,-0.0657,-0.0647
2019,<= 2018,<= 2016,2017-2018,profile_plus_consensus,3.5,640,234,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7758,0.624,0.8427,0.7812,0.6406,0.964,0.9604,0.7726,0.5909,0.8267,0.75,0.5938,0.9495,0.945,0.016,0.0074,-0.017,-0.0331,-0.0245
2020,<= 2019,<= 2017,2018-2019,profile_plus_consensus,3.5,325,209,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8314,0.5946,0.8577,0.5312,0.3906,0.8982,0.9191,0.8065,0.5399,0.8356,0.4688,0.3594,0.8623,0.8771,-0.0104,-0.0117,-0.0651,-0.0547,-0.0535
2021,<= 2020,<= 2018,2019-2020,profile_plus_consensus,3.5,403,199,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8164,0.606,0.8207,0.5625,0.4375,0.9309,0.9236,0.8167,0.6078,0.8207,0.5938,0.4375,0.9366,0.9269,0.0203,0.0123,0.0221,0.0017,0.0098
