test_year,train_years,validation_years,feature_set,apex_plus_factor,min_train_rows,n_all,n_drafted,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,position_apex_raw_spearman_all,position_apex_raw_spearman_drafted,position_apex_raw_hit_auc_drafted,position_apex_raw_precision_at_32,position_apex_raw_precision_at_64,position_apex_raw_ndcg_at_32,position_apex_raw_ndcg_at_64,position_apex_plus_spearman_all,position_apex_plus_spearman_drafted,position_apex_plus_hit_auc_drafted,position_apex_plus_precision_at_32,position_apex_plus_precision_at_64,position_apex_plus_ndcg_at_32,position_apex_plus_ndcg_at_64,delta_plus_vs_pick_spearman_drafted,delta_plus_vs_market_spearman_drafted,delta_raw_vs_pick_spearman_drafted,delta_plus_vs_raw_spearman_drafted
2011,<= 2010,2009-2010,profile,3.5,300,365,236,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.8013,0.5823,0.8249,0.6562,0.375,0.939,0.9068,0.7745,0.5103,0.7986,0.5938,0.3594,0.8928,0.8911,-0.1034,-0.094,-0.0314,-0.072
2012,<= 2011,2010-2011,profile,3.5,300,365,233,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8043,0.6035,0.7971,0.5312,0.375,0.9087,0.8993,0.7989,0.5803,0.7862,0.4375,0.3906,0.8899,0.9036,-0.003,-0.0101,0.0202,-0.0232
2013,<= 2012,2011-2012,profile,3.5,300,370,241,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.8055,0.5935,0.794,0.4062,0.375,0.8851,0.9064,0.8004,0.579,0.7902,0.4062,0.3594,0.8708,0.8913,0.0026,-0.0059,0.0171,-0.0145
2014,<= 2013,2012-2013,profile,3.5,300,365,243,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8028,0.621,0.8269,0.5,0.3594,0.9163,0.9077,0.7954,0.6175,0.832,0.5,0.3281,0.8936,0.885,0.0425,0.0194,0.046,-0.0035
2015,<= 2014,2013-2014,profile,3.5,300,732,245,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7327,0.5992,0.8192,0.75,0.6562,0.9652,0.9557,0.7218,0.5924,0.8279,0.7812,0.6406,0.9493,0.9412,0.0146,0.0073,0.0214,-0.0068
2016,<= 2015,2014-2015,profile,3.5,300,454,246,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8332,0.5967,0.7972,0.5312,0.4219,0.9288,0.9192,0.8269,0.5653,0.7819,0.4062,0.3906,0.8928,0.9018,-0.008,-0.0157,0.0234,-0.0314
2017,<= 2016,2015-2016,profile,3.5,300,582,237,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7857,0.5903,0.7831,0.625,0.5,0.942,0.9354,0.775,0.5348,0.7702,0.5312,0.5312,0.9132,0.9174,-0.0415,-0.0538,0.0141,-0.0556
2018,<= 2017,2016-2017,profile,3.5,300,589,240,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8176,0.6509,0.8204,0.75,0.5625,0.9608,0.9517,0.8087,0.583,0.7837,0.6562,0.5625,0.937,0.944,-0.0467,-0.0691,0.0212,-0.0679
2019,<= 2018,2017-2018,profile,3.5,300,640,234,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7755,0.6387,0.8389,0.7812,0.6094,0.9654,0.9569,0.7729,0.6258,0.8132,0.625,0.5781,0.9465,0.9483,0.0178,0.0104,0.0307,-0.0129
2020,<= 2019,2018-2019,profile,3.5,300,325,209,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8349,0.6055,0.8603,0.4375,0.3906,0.8909,0.9166,0.832,0.5951,0.8549,0.4062,0.375,0.8906,0.9092,-0.01,0.0017,0.0005,-0.0105
2021,<= 2020,2019-2020,profile,3.5,300,403,199,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8141,0.6157,0.8216,0.5312,0.4531,0.9308,0.9251,0.813,0.6066,0.8055,0.5938,0.4375,0.9345,0.9295,0.0209,0.0087,0.03,-0.009
2022,<= 2021,2020-2021,profile,3.5,300,354,247,0.8009,0.6333,0.7726,0.4688,0.3594,0.8943,0.9005,0.8001,0.6296,0.769,0.5312,0.375,0.8782,0.8902,0.7948,0.637,0.7708,0.5,0.3438,0.9063,0.9,0.7777,0.5999,0.7505,0.4688,0.3281,0.9075,0.899,-0.0335,-0.0297,0.0036,-0.0371
2023,<= 2022,2021-2022,profile,3.5,300,335,241,0.785,0.6464,0.9027,0.5625,0.375,0.9406,0.9142,0.7785,0.6323,0.9052,0.625,0.375,0.9459,0.9183,0.792,0.6682,0.9018,0.5938,0.375,0.9373,0.9183,0.7912,0.6612,0.8813,0.5,0.375,0.8936,0.8891,0.0148,0.0289,0.0218,-0.007
