test_year,pos_g,feature_set,n,pick_only_spearman,market_spearman,apex_raw_spearman,apex_plus_spearman,delta_raw_vs_pick,delta_plus_vs_pick,shrink
2011,DB,profile,51,0.5123,0.5088,0.4325,0.2709,-0.0798,-0.2414,0.9
2011,DT,profile,20,0.4789,0.4789,0.5332,0.5783,0.0543,0.0994,0.6
2011,LB,profile,30,0.4825,0.4825,0.4825,0.4825,0.0,0.0,0.0
2011,OL,profile,39,0.5735,0.5566,0.5483,0.5044,-0.0252,-0.0691,0.1
2011,RB,profile,28,0.5779,0.5779,0.623,0.6457,0.0451,0.0678,0.4
2011,WR,profile,25,0.5216,0.5216,0.5132,0.4989,-0.0083,-0.0226,0.3
2012,DB,profile,50,0.4627,0.489,0.412,0.2965,-0.0508,-0.1662,0.6
2012,DT,profile,20,0.5397,0.5397,0.5345,0.5413,-0.0052,0.0016,0.3
2012,LB,profile,29,0.7675,0.7566,0.7566,0.7566,-0.0109,-0.0109,0.0
2012,OL,profile,43,0.6565,0.6576,0.6576,0.6576,0.0012,0.0012,0.0
2012,RB,profile,20,0.4333,0.4333,0.5082,0.5589,0.0749,0.1256,0.7
2012,WR,profile,33,0.5032,0.5009,0.5009,0.5009,-0.0023,-0.0023,0.0
2013,DB,profile,52,0.543,0.5448,0.5448,0.5448,0.0018,0.0018,0.0
2013,DT,profile,20,0.7002,0.7002,0.6742,0.5746,-0.0259,-0.1256,0.8
2013,EDGE,profile,24,0.5232,0.5232,0.5671,0.5557,0.0439,0.0325,0.4
2013,LB,profile,25,0.5317,0.5428,0.5428,0.5428,0.0111,0.0111,0.0
2013,OL,profile,39,0.5939,0.5939,0.5939,0.5939,0.0,0.0,0.0
2013,RB,profile,26,0.3863,0.3863,0.2683,0.037,-0.118,-0.3493,1.0
2013,WR,profile,28,0.6577,0.6587,0.6223,0.6311,-0.0353,-0.0265,0.2
2014,DB,profile,52,0.4985,0.5128,0.4984,0.4137,-0.0001,-0.0849,0.5
2014,DT,profile,20,0.3045,0.3045,0.3045,0.3045,0.0,0.0,0.0
2014,EDGE,profile,20,0.5099,0.5099,0.5291,0.4966,0.0191,-0.0133,0.5
2014,LB,profile,31,0.6724,0.6816,0.6816,0.6816,0.0092,0.0092,0.0
2014,OL,profile,43,0.4222,0.4235,0.4612,0.4941,0.039,0.0719,0.6
2014,RB,profile,21,0.7193,0.7193,0.7257,0.6741,0.0064,-0.0452,0.2
2014,WR,profile,32,0.7118,0.7174,0.7174,0.7174,0.0056,0.0056,0.0
2015,DB,profile,45,0.503,0.5027,0.5703,0.5373,0.0674,0.0343,0.7
2015,DT,profile,25,0.6157,0.6157,0.6241,0.5409,0.0084,-0.0747,1.0
2015,LB,profile,33,0.661,0.6588,0.6588,0.6588,-0.0022,-0.0022,0.0
2015,OL,profile,46,0.5644,0.5668,0.6405,0.6082,0.0761,0.0438,1.0
2015,RB,profile,21,0.8347,0.8347,0.8292,0.8338,-0.0055,-0.0009,0.1
2015,WR,profile,34,0.6191,0.6256,0.6256,0.6256,0.0064,0.0064,0.0
2016,DB,profile,51,0.549,0.5407,0.5658,0.4446,0.0168,-0.1044,0.6
2016,DT,profile,21,0.2196,0.2196,0.0741,-0.0441,-0.1455,-0.2637,1.0
2016,EDGE,profile,20,0.4137,0.4137,0.4245,0.469,0.0109,0.0553,0.4
2016,LB,profile,33,0.6123,0.612,0.6299,0.6508,0.0175,0.0385,0.1
2016,OL,profile,41,0.448,0.448,0.4019,0.2198,-0.0461,-0.2282,1.0
2016,RB,profile,23,0.8107,0.8171,0.8171,0.8171,0.0064,0.0064,0.0
2016,WR,profile,31,0.6493,0.6617,0.6618,0.6443,0.0125,-0.005,0.8
2017,DB,profile,53,0.5881,0.5881,0.5642,0.447,-0.0239,-0.1411,0.9
2017,DT,profile,22,0.5835,0.5797,0.5797,0.5797,-0.0038,-0.0038,0.0
2017,LB,profile,25,0.2873,0.2932,0.3055,0.3437,0.0182,0.0564,0.4
2017,OL,profile,33,0.5428,0.5452,0.5326,0.5334,-0.0102,-0.0093,0.6
2017,RB,profile,28,0.724,0.7241,0.7241,0.7241,0.0002,0.0002,0.0
2017,WR,profile,32,0.539,0.5332,0.5332,0.5332,-0.0058,-0.0058,0.0
2018,DB,profile,44,0.6071,0.6073,0.6073,0.6073,0.0002,0.0002,0.0
2018,DT,profile,20,0.6595,0.6595,0.671,0.6649,0.0115,0.0054,0.1
2018,EDGE,profile,21,0.46,0.4599,0.4954,0.4831,0.0354,0.0231,0.4
2018,LB,profile,37,0.575,0.5759,0.6371,0.6309,0.0622,0.056,0.8
2018,OL,profile,37,0.6208,0.6199,0.6199,0.6199,-0.0009,-0.0009,0.0
2018,RB,profile,20,0.6997,0.7078,0.7078,0.7078,0.0081,0.0081,0.0
2018,WR,profile,33,0.5039,0.5195,0.5314,0.5735,0.0275,0.0697,0.3
2019,DB,profile,52,0.4892,0.4872,0.5146,0.5157,0.0254,0.0265,0.3
2019,DT,profile,22,0.8572,0.85,0.8491,0.816,-0.0081,-0.0412,0.3
2019,LB,profile,24,0.6029,0.6029,0.5588,0.4395,-0.044,-0.1633,0.7
2019,OL,profile,40,0.7329,0.7336,0.7336,0.7336,0.0007,0.0007,0.0
2019,RB,profile,25,0.6838,0.6838,0.7215,0.6495,0.0377,-0.0343,0.6
