test_year,train_years,shrink_train_years,validation_years,feature_set,apex_plus_factor,n_all,n_drafted,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,apex_raw_spearman_all,apex_raw_spearman_drafted,apex_raw_hit_auc_drafted,apex_raw_precision_at_32,apex_raw_precision_at_64,apex_raw_ndcg_at_32,apex_raw_ndcg_at_64,apex_plus_spearman_all,apex_plus_spearman_drafted,apex_plus_hit_auc_drafted,apex_plus_precision_at_32,apex_plus_precision_at_64,apex_plus_ndcg_at_32,apex_plus_ndcg_at_64,delta_raw_vs_pick_spearman_drafted,delta_market_vs_pick_spearman_drafted,delta_plus_vs_pick_spearman_drafted,delta_plus_vs_raw_spearman_drafted,delta_plus_vs_market_spearman_drafted
2011,<= 2010,<= 2008,2009-2010,profile,3.5,365,236,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.8038,0.5809,0.8189,0.5625,0.375,0.9246,0.9075,0.7845,0.5238,0.789,0.5,0.3594,0.8821,0.8752,-0.0328,-0.0094,-0.0899,-0.0571,-0.0805
2012,<= 2011,<= 2009,2010-2011,profile,3.5,365,233,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.7975,0.5811,0.7799,0.4688,0.375,0.898,0.8987,0.7774,0.5112,0.7396,0.4375,0.3438,0.8844,0.8865,-0.0021,0.0071,-0.072,-0.0699,-0.0791
2013,<= 2012,<= 2010,2011-2012,profile,3.5,370,241,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.796,0.5816,0.7903,0.4062,0.375,0.8779,0.9053,0.7776,0.5305,0.7627,0.375,0.3281,0.828,0.8688,0.0051,0.0085,-0.0459,-0.0511,-0.0544
2014,<= 2013,<= 2011,2012-2013,profile,3.5,365,243,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8001,0.6148,0.8225,0.5,0.3594,0.9154,0.9099,0.7955,0.6096,0.8177,0.5,0.3281,0.9013,0.9017,0.0398,0.0231,0.0346,-0.0052,0.0115
2015,<= 2014,<= 2012,2013-2014,profile,3.5,732,245,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7368,0.6202,0.8328,0.7812,0.6562,0.9647,0.9507,0.7285,0.6042,0.8425,0.8125,0.6406,0.9459,0.9375,0.0424,0.0073,0.0264,-0.0159,0.0191
2016,<= 2015,<= 2013,2014-2015,profile,3.5,454,246,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8295,0.5871,0.7849,0.5,0.4219,0.9202,0.9089,0.8147,0.5239,0.7455,0.375,0.3281,0.8708,0.8711,0.0138,0.0077,-0.0494,-0.0631,-0.057
2017,<= 2016,<= 2014,2015-2016,profile,3.5,582,237,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7861,0.5853,0.7847,0.625,0.5156,0.9418,0.9431,0.7714,0.5226,0.7619,0.5312,0.4844,0.911,0.9057,0.0091,0.0124,-0.0537,-0.0628,-0.066
2018,<= 2017,<= 2015,2016-2017,profile,3.5,589,240,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8265,0.6577,0.8233,0.75,0.5312,0.9616,0.9473,0.8237,0.6276,0.7994,0.6562,0.5156,0.9422,0.9416,0.028,0.0224,-0.0021,-0.0301,-0.0246
2019,<= 2018,<= 2016,2017-2018,profile,3.5,640,234,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7746,0.6277,0.8454,0.7812,0.6094,0.9623,0.9548,0.7735,0.6133,0.8418,0.8125,0.5938,0.9587,0.9399,0.0197,0.0074,0.0054,-0.0144,-0.0021
2020,<= 2019,<= 2017,2018-2019,profile,3.5,325,209,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8309,0.5929,0.8565,0.4688,0.3906,0.8932,0.9215,0.8077,0.5493,0.8301,0.4375,0.3906,0.8782,0.8945,-0.0122,-0.0117,-0.0557,-0.0435,-0.0441
2021,<= 2020,<= 2018,2019-2020,profile,3.5,403,199,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8121,0.6039,0.8148,0.5625,0.4219,0.9241,0.9159,0.8121,0.5998,0.7976,0.5938,0.4219,0.9123,0.9219,0.0182,0.0123,0.014,-0.0042,0.0018
2022,<= 2021,<= 2019,2020-2021,profile,3.5,354,247,0.8009,0.6333,0.7726,0.4688,0.3594,0.8943,0.9005,0.8001,0.6296,0.769,0.5312,0.375,0.8782,0.8902,0.7863,0.631,0.7715,0.5312,0.375,0.8924,0.8999,0.7797,0.6194,0.7732,0.5312,0.3438,0.9074,0.901,-0.0023,-0.0038,-0.0139,-0.0116,-0.0101
