test_year,train_years,validation_years,n_all,n_drafted,position_specific,n_raw_features,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,candidate_spearman_all,candidate_spearman_drafted,candidate_hit_auc_drafted,candidate_precision_at_32,candidate_precision_at_64,candidate_ndcg_at_32,candidate_ndcg_at_64,delta_candidate_vs_pick_spearman_drafted,delta_candidate_vs_market_spearman_drafted,delta_market_vs_pick_spearman_drafted,ablation,description
2011,<= 2010,2009-2010,365,236,False,10,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.8038,0.5809,0.8189,0.5625,0.375,0.9246,0.9075,-0.0328,-0.0234,-0.0094,global_profile_only,"Combine/profile features only, plus age and college encoding."
2012,<= 2011,2010-2011,365,233,False,10,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.7975,0.5811,0.7799,0.4688,0.375,0.898,0.8987,-0.0021,-0.0092,0.0071,global_profile_only,"Combine/profile features only, plus age and college encoding."
2013,<= 2012,2011-2012,370,241,False,10,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.796,0.5816,0.7903,0.4062,0.375,0.8779,0.9053,0.0051,-0.0034,0.0085,global_profile_only,"Combine/profile features only, plus age and college encoding."
2014,<= 2013,2012-2013,365,243,False,10,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8001,0.6148,0.8225,0.5,0.3594,0.9154,0.9099,0.0398,0.0167,0.0231,global_profile_only,"Combine/profile features only, plus age and college encoding."
2015,<= 2014,2013-2014,732,245,False,10,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7368,0.6202,0.8328,0.7812,0.6562,0.9647,0.9507,0.0424,0.035,0.0073,global_profile_only,"Combine/profile features only, plus age and college encoding."
2016,<= 2015,2014-2015,454,246,False,10,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8295,0.5871,0.7849,0.5,0.4219,0.9202,0.9089,0.0138,0.0061,0.0077,global_profile_only,"Combine/profile features only, plus age and college encoding."
2017,<= 2016,2015-2016,582,237,False,10,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7861,0.5853,0.7847,0.625,0.5156,0.9418,0.9431,0.0091,-0.0033,0.0124,global_profile_only,"Combine/profile features only, plus age and college encoding."
2018,<= 2017,2016-2017,589,240,False,10,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8265,0.6577,0.8233,0.75,0.5312,0.9616,0.9473,0.028,0.0055,0.0224,global_profile_only,"Combine/profile features only, plus age and college encoding."
2019,<= 2018,2017-2018,640,234,False,10,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7746,0.6277,0.8454,0.7812,0.6094,0.9623,0.9548,0.0197,0.0123,0.0074,global_profile_only,"Combine/profile features only, plus age and college encoding."
2020,<= 2019,2018-2019,325,209,False,10,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8309,0.5929,0.8565,0.4688,0.3906,0.8932,0.9215,-0.0122,-0.0005,-0.0117,global_profile_only,"Combine/profile features only, plus age and college encoding."
