test_year,pos_g,feature_set,n,pick_only_spearman,market_spearman,apex_raw_spearman,apex_plus_spearman,delta_raw_vs_pick,delta_plus_vs_pick,shrink
2011,DB,profile,51,0.5123,0.5088,0.449,0.3999,-0.0632,-0.1124,0.4
2011,DT,profile,20,0.4789,0.4789,0.5045,0.5754,0.0256,0.0965,0.4
2011,LB,profile,30,0.4825,0.4825,0.4599,0.4831,-0.0226,0.0006,0.4
2011,OL,profile,39,0.5735,0.5566,0.5037,0.4304,-0.0698,-0.1432,0.4
2011,RB,profile,28,0.5779,0.5779,0.623,0.6457,0.0451,0.0678,0.4
2011,WR,profile,25,0.5216,0.5216,0.4986,0.4785,-0.023,-0.0431,0.4
2012,DB,profile,50,0.4627,0.489,0.4234,0.3286,-0.0394,-0.1342,0.4
2012,DT,profile,20,0.5397,0.5397,0.5345,0.5317,-0.0052,-0.008,0.4
2012,LB,profile,29,0.7675,0.7566,0.7566,0.7566,-0.0109,-0.0109,0.0
2012,OL,profile,43,0.6565,0.6576,0.6576,0.6576,0.0012,0.0012,0.0
2012,RB,profile,20,0.4333,0.4333,0.5082,0.5589,0.0749,0.1256,0.7
2012,WR,profile,33,0.5032,0.5009,0.5009,0.5009,-0.0023,-0.0023,0.0
2013,DB,profile,52,0.543,0.5448,0.5448,0.5448,0.0018,0.0018,0.0
2013,DT,profile,20,0.7002,0.7002,0.7142,0.6871,0.0141,-0.0131,0.4
2013,EDGE,profile,24,0.5232,0.5232,0.5671,0.5557,0.0439,0.0325,0.4
2013,LB,profile,25,0.5317,0.5428,0.5144,0.4496,-0.0173,-0.082,0.4
2013,OL,profile,39,0.5939,0.5939,0.5963,0.5906,0.0025,-0.0032,0.4
2013,RB,profile,26,0.3863,0.3863,0.3526,0.2279,-0.0337,-0.1584,0.4
2013,WR,profile,28,0.6577,0.6587,0.6223,0.6311,-0.0353,-0.0265,0.2
2014,DB,profile,52,0.4985,0.5128,0.5075,0.4517,0.0089,-0.0469,0.4
2014,DT,profile,20,0.3045,0.3045,0.3672,0.4745,0.0627,0.17,0.4
2014,EDGE,profile,20,0.5099,0.5099,0.5291,0.5457,0.0191,0.0357,0.4
2014,LB,profile,31,0.6724,0.6816,0.6816,0.6816,0.0092,0.0092,0.0
2014,OL,profile,43,0.4222,0.4235,0.4502,0.4991,0.028,0.0769,0.4
2014,RB,profile,21,0.7193,0.7193,0.7257,0.6741,0.0064,-0.0452,0.2
2014,WR,profile,32,0.7118,0.7174,0.7174,0.7174,0.0056,0.0056,0.0
2015,DB,profile,45,0.503,0.5027,0.5413,0.5701,0.0383,0.0672,0.4
2015,DT,profile,25,0.6157,0.6157,0.6233,0.5818,0.0076,-0.0338,0.7
2015,LB,profile,33,0.661,0.6588,0.6513,0.5666,-0.0097,-0.0944,0.4
2015,OL,profile,46,0.5644,0.5668,0.6168,0.6596,0.0524,0.0952,0.4
2015,RB,profile,21,0.8347,0.8347,0.8292,0.8338,-0.0055,-0.0009,0.1
