season,cfbd_id,player,position,team,conference,average_ppa_all,average_ppa_pass,average_ppa_rush,average_ppa_first_down,average_ppa_second_down,average_ppa_third_down,average_ppa_standard_downs,average_ppa_passing_downs,total_ppa_all,total_ppa_pass,total_ppa_rush,total_ppa_first_down,total_ppa_second_down,total_ppa_third_down,total_ppa_standard_downs,total_ppa_passing_downs,normalized_name,canonical_school
2022,4685334,A.J. Duffy,QB,Florida State,ACC,-0.06,0.068,-0.358,-0.059,-0.156,0.44,-0.059,-0.06,-0.598,0.476,-1.074,-0.118,-0.467,1.761,-0.118,-0.479,aj duffy,Florida State
2023,4685334,A.J. Duffy,QB,Florida State,ACC,-0.583,-1.558,1.366,1.366,-2.391,-0.725,-0.512,-0.725,-1.749,-3.116,1.366,1.366,-2.391,-0.725,-1.024,-0.725,aj duffy,Florida State
2025,4685334,A.J. Duffy,QB,New Haven,,0.28,0.252,0.581,0.11,0.24,0.74,0.208,0.426,79.321,64.512,15.112,13.519,18.984,54.752,39.289,40.032,aj duffy,New Haven
2014,545682,A.J. Erdely,QB,Middle Tennessee,CUSA,0.321,-0.404,0.425,-0.266,0.943,-0.404,0.425,-0.404,2.571,-0.404,2.975,-0.798,3.773,-0.404,2.975,-0.404,aj erdely,Middle Tennessee
2017,545682,A.J. Erdely,QB,UAB,CUSA,0.225,0.182,0.374,0.111,0.119,0.562,0.199,0.264,103.227,65.054,38.173,19.575,16.642,75.83,55.63,47.597,aj erdely,UAB
2018,545682,A.J. Erdely,QB,UAB,CUSA,0.226,0.243,0.172,-0.077,0.271,0.634,-0.022,0.507,63.142,51.245,11.897,-7.585,27.399,48.851,-3.247,66.389,aj erdely,UAB
2014,535646,A.J. Schurr,QB,Army,Ind,0.265,-0.096,0.531,0.13,-0.062,0.764,0.153,0.456,19.333,-2.961,22.294,4.144,-1.246,12.23,7.031,12.302,aj schurr,Army
2015,535646,A.J. Schurr,QB,Army,Ind,0.223,0.296,0.199,-0.064,0.315,0.447,0.243,0.19,28.558,9.465,19.093,-2.77,12.897,16.102,19.43,9.128,aj schurr,Army
2023,4819250,AJ Bianco,QB,Nevada,MWC,0.253,0.216,0.491,0.02,0.528,0.376,0.067,0.482,29.87,18.762,14.741,0.811,22.182,12.777,4.332,25.538,aj bianco,Nevada
2024,4819250,AJ Bianco,QB,Nevada,MWC,0.419,0.452,0.219,-0.394,0.914,1.595,-0.115,1.245,11.733,10.856,0.877,-4.336,9.137,7.976,-1.959,13.691,aj bianco,Nevada
