player,normalized_player,pfr_player_id,gsis_id,cfb_player_id,draft_season,position,college,height_raw,height,weight,forty,vertical,broad,three_cone,short_shuttle,bench,combine_invite,combine_participation,pro_day_used,testing_source,ras_score,speed_score,burst_score,agility_score,ten_yard_split,twenty_yard_split,arm_length,hand_size,wingspan,bmi,testing_coverage_score,testing_notes,normalized_name,canonical_school
Brandon Allen,brandonallen,AlleBr00,00-0032434,brandon-allen-2,2016,QB,Arkansas,6-1,73.0,217.0,4.84,28.0,110.0,7.06,4.33,,1,1,0,nflverse_combine,,,,,,,,,,28.6265715894164,0.8888888888888888,,brandon allen,Arkansas
Brandon Doughty,brandondoughty,DougBr00,00-0032446,brandon-doughty-1,2016,QB,Western Kentucky,6-3,75.0,213.0,5.22,27.0,103.0,7.49,4.52,,1,1,0,nflverse_combine,,,,,,,,,,26.620266666666662,0.8888888888888888,,brandon doughty,Western Kentucky
Cardale Jones,cardalejones,JoneCa01,00-0033098,cardale-jones-1,2016,QB,Ohio State,6-5,77.0,253.0,4.81,36.0,,,,,1,1,0,nflverse_combine,,,,,,,,,,29.998144712430427,0.5555555555555556,,cardale jones,Ohio State
Carson Wentz,carsonwentz,WentCa00,00-0032950,,2016,QB,North Dakota State,6-5,77.0,237.0,4.77,30.5,118.0,6.86,4.15,,1,1,0,nflverse_combine,,,,,,,,,,28.10102884128858,0.8888888888888888,,carson wentz,North Dakota State
Christian Hackenberg,christianhackenberg,HackCh01,00-0032953,christian-hackenberg-1,2016,QB,Penn State,6-4,76.0,223.0,4.78,31.0,114.0,7.04,4.33,,1,1,0,nflverse_combine,,,,,,,,,,27.14144736842105,0.8888888888888888,,christian hackenberg,Penn State
Cody Kessler,codykessler,KessCo00,00-0033104,cody-kessler-1,2016,QB,USC,6-1,73.0,220.0,4.89,29.5,104.0,7.32,4.0,,1,1,0,nflverse_combine,,,,,,,,,,29.022330643647965,0.8888888888888888,,cody kessler,USC
Connor Cook,connorcook,CookCo00,00-0032893,connor-cook-1,2016,QB,Michigan State,6-4,76.0,217.0,4.79,33.0,113.0,7.21,4.28,,1,1,0,nflverse_combine,,,,,,,,,,26.411184210526315,0.8888888888888888,,connor cook,Michigan State
Dak Prescott,dakprescott,PresDa01,00-0033077,dak-prescott-1,2016,QB,Mississippi State,6-2,74.0,226.0,4.79,32.5,116.0,7.11,4.32,,1,1,0,nflverse_combine,,,,,,,,,,29.013513513513512,0.8888888888888888,,dak prescott,Mississippi State
Jacoby Brissett,jacobybrissett,BrisJa00,00-0033119,jacoby-brissett-2,2016,QB,North Carolina State,6-4,76.0,231.0,4.94,31.0,113.0,7.17,4.53,,1,1,0,nflverse_combine,,,,,,,,,,28.11513157894737,0.8888888888888888,,jacoby brissett,NC State
Jared Goff,jaredgoff,GoffJa00,00-0033106,jared-goff-1,2016,QB,California,6-4,76.0,215.0,4.82,27.0,110.0,7.17,4.47,,1,1,0,nflverse_combine,,,,,,,,,,26.167763157894736,0.8888888888888888,,jared goff,California
Jeff Driskel,jeffdriskel,DrisJe00,00-0032436,jeff-driskel-1,2016,QB,Louisiana Tech,6-4,76.0,234.0,4.56,32.0,122.0,7.19,4.25,,1,1,0,nflverse_combine,,,,,,,,,,28.480263157894736,0.8888888888888888,,jeff driskel,Louisiana Tech
Joel Stave,joelstave,StavJo01,00-0032614,joel-stave-1,2016,QB,Wisconsin,6-5,77.0,236.0,4.8,33.5,115.0,7.29,4.33,,1,1,0,nflverse_combine,,,,,,,,,,27.982459099342215,0.8888888888888888,,joel stave,Wisconsin
Josh Woodrum,joshwoodrum,WoodJo01,00-0032658,,2016,QB,Liberty,6-3,75.0,231.0,4.8,31.0,116.0,6.74,4.31,,1,1,0,nflverse_combine,,,,,,,,,,28.869866666666667,0.8888888888888888,,josh woodrum,Liberty
Kevin Hogan,kevinhogan,HogaKe00,00-0032784,kevin-hogan-2,2016,QB,Stanford,6-3,75.0,218.0,4.78,32.5,113.0,6.9,4.31,,1,1,0,nflverse_combine,,,,,,,,,,27.245155555555556,0.8888888888888888,,kevin hogan,Stanford
Nate Sudfeld,natesudfeld,SudfNa00,00-0032792,nate-sudfeld-1,2016,QB,Indiana,6-6,78.0,234.0,5.02,29.0,105.0,,,,1,1,0,nflverse_combine,,,,,,,,,,27.03846153846154,0.6666666666666666,,nathan sudfeld,Indiana
Paxton Lynch,paxtonlynch,LyncPa00,00-0033108,paxton-lynch-1,2016,QB,Memphis,6-7,79.0,244.0,4.86,36.0,118.0,7.14,4.26,,1,1,0,nflverse_combine,,,,,,,,,,27.4846979650697,0.8888888888888888,,paxton lynch,Memphis
Trevone Boykin,trevoneboykin,BoykTr00,00-0032462,trevone-boykin-1,2016,QB,TCU,6-0,72.0,212.0,4.77,32.0,110.0,,4.4,,1,1,0,nflverse_combine,,,,,,,,,,28.749228395061728,0.7777777777777778,,trevone boykin,TCU
Vernon Adams,vernonadams,,,vernon-adams-1,2016,QB,Oregon,5-11,71.0,200.0,4.83,29.5,114.0,6.82,4.2,,1,1,0,nflverse_combine,,,,,,,,,,27.891291410434437,0.8888888888888888,,vernon adams,Oregon
Brad Kaaya,bradkaaya,KaayBr00,00-0033585,brad-kaaya-1,2017,QB,Miami (FL),6-4,76.0,214.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,26.04605263157895,0.3333333333333333,,brad kaaya,Miami
C.J. Beathard,cjbeathard,BeatC.00,00-0033936,cj-beathard-1,2017,QB,Iowa,6-2,74.0,219.0,,31.0,113.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.114864864864863,0.5555555555555556,,cj beathard,Iowa
Cooper Rush,cooperrush,RushCo00,00-0033662,cooper-rush-1,2017,QB,Central Michigan,6-3,75.0,228.0,4.93,27.0,105.0,7.23,4.47,,1,1,0,nflverse_combine,,,,,,,,,,28.494933333333332,0.8888888888888888,,cooper rush,Central Michigan
Davis Webb,daviswebb,WebbDa00,00-0033550,davis-webb-1,2017,QB,California,6-5,77.0,229.0,4.79,33.0,118.0,6.92,4.21,,1,1,0,nflverse_combine,,,,,,,,,,27.15247090571766,0.8888888888888888,,davis webb,California
DeShone Kizer,deshonekizer,KizeDe00,00-0033899,deshone-kizer-1,2017,QB,Notre Dame,6-4,76.0,233.0,4.83,30.5,107.0,7.4,4.53,,1,1,0,nflverse_combine,,,,,,,,,,28.35855263157895,0.8888888888888888,,deshone kizer,Notre Dame
Deshaun Watson,deshaunwatson,WatsDe00,00-0033537,deshaun-watson-1,2017,QB,Clemson,6-2,74.0,221.0,4.66,32.5,119.0,6.95,4.31,,1,1,0,nflverse_combine,,,,,,,,,,28.37162162162162,0.8888888888888888,,deshaun watson,Clemson
Jerod Evans,jerodevans,EvanJe01,EVA297676,jerod-evans-1,2017,QB,Virginia Tech,6-3,75.0,232.0,4.8,26.5,112.0,,4.41,,1,1,0,nflverse_combine,,,,,,,,,,28.99484444444445,0.7777777777777778,,jerod evans,Virginia Tech
Joshua Dobbs,joshuadobbs,DobbJo00,00-0033949,joshua-dobbs-1,2017,QB,Tennessee,6-3,75.0,216.0,4.64,33.0,122.0,6.75,4.31,,1,1,0,nflverse_combine,,,,,,,,,,26.9952,0.8888888888888888,,joshua dobbs,Tennessee
Mitch Leidner,mitchleidner,LeidMi00,,mitch-leidner-1,2017,QB,Minnesota,6-3,75.0,226.0,4.93,34.5,123.0,6.96,4.25,,1,1,0,nflverse_combine,,,,,,,,,,28.244977777777777,0.8888888888888888,,mitchell leidner,Minnesota
Mitchell Trubisky,mitchelltrubisky,TrubMi00,00-0033869,mitch-trubisky-1,2017,QB,North Carolina,6-2,74.0,222.0,4.67,27.5,116.0,6.87,4.25,,1,1,0,nflverse_combine,,,,,,,,,,28.5,0.8888888888888888,,mitchell trubisky,North Carolina
Nathan Peterman,nathanpeterman,PeteNa00,00-0033958,nathan-peterman-1,2017,QB,Pittsburgh,6-2,74.0,226.0,4.82,31.0,110.0,7.14,4.31,,1,1,0,nflverse_combine,,,,,,,,,,29.013513513513512,0.8888888888888888,,nathan peterman,Pittsburgh
Patrick Mahomes,patrickmahomes,MahoPa00,00-0033873,patrick-mahomes-1,2017,QB,Texas Tech,6-2,74.0,225.0,4.8,30.0,114.0,6.88,4.08,,1,1,0,nflverse_combine,,,,,,,,,,28.885135135135137,0.8888888888888888,,patrick mahomes,Texas Tech
Sefo Liufau,sefoliufau,LiufSe00,,sefo-liufau-1,2017,QB,Colorado,6-3,75.0,232.0,5.08,27.0,105.0,7.32,4.45,,1,1,0,nflverse_combine,,,,,,,,,,28.99484444444445,0.8888888888888888,,sefo liufau,Colorado
Seth Russell,sethrussell,RussSe00,,seth-russell-1,2017,QB,Baylor,6-3,75.0,213.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,26.620266666666662,0.3333333333333333,,seth russell,Baylor
Trevor Knight,trevorknight,KnigTr00,00-0033607,trevor-knight-1,2017,QB,Texas A&M,6-1,73.0,219.0,4.54,35.5,125.0,7.04,4.14,,1,1,0,nflverse_combine,,,,,,,,,,28.89041095890411,0.8888888888888888,,trevor knight,Texas A&M
Austin Allen,austinallen,,,austin-allen-1,2018,QB,Arkansas,6-0,72.0,210.0,4.81,29.5,112.0,7.18,4.48,,1,1,0,nflverse_combine,,,,,,,,,,28.47800925925926,0.8888888888888888,,austin allen,Arkansas
Baker Mayfield,bakermayfield,MayfBa00,00-0034855,baker-mayfield-1,2018,QB,Oklahoma,6-1,73.0,215.0,4.84,29.0,111.0,7.0,4.28,,1,1,0,nflverse_combine,,,,,,,,,,28.36273221992869,0.8888888888888888,,baker mayfield,Oklahoma
Chase Litton,chaselitton,LittCh01,00-0034291,chase-litton-1,2018,QB,Marshall,6-5,77.0,230.0,4.9,29.5,106.0,7.49,4.53,,1,1,0,nflverse_combine,,,,,,,,,,27.271040647664023,0.8888888888888888,,chase litton,Marshall
Danny Etling,dannyetling,EtliDa00,00-0034423,danny-etling-1,2018,QB,LSU,6-2,74.0,222.0,4.76,30.5,114.0,7.09,4.37,,1,1,0,nflverse_combine,,,,,,,,,,28.5,0.8888888888888888,,daniel etling,LSU
