canonical_id,canonical_name,normalized_name,pff_player_id,cfbd_id,combine_normalized_player,combine_cfb_player_id,combine_pfr_player_id,combine_gsis_id,colleges,college_seasons,college_seasons_count,draft_season,in_pff,in_combine,in_cfbd
jameis-winston-florida-state-2014,Jameis Winston,jameis winston,9434.0,530308,,,,,Florida State,Florida State:2014,1,2015,True,False,True
marcus-mariota-oregon-2014,Marcus Mariota,marcus mariota,9435.0,511459,,,,,Oregon,Oregon:2014,1,2015,True,False,True
todd-gurley-ii-georgia-2014,Todd Gurley II,todd gurley,9443.0,,,,,,Georgia,Georgia:2014,1,2015,True,False,False
ameer-abdullah-nebraska-2014,Ameer Abdullah,ameer abdullah,9487.0,,,,,,Nebraska,Nebraska:2014,1,2015,True,False,False
garrett-grayson-colorado-state-2014,Garrett Grayson,garrett grayson,9508.0,515528,,,,,Colorado State,Colorado State:2014,1,2015,True,False,True
sean-mannion-oregon-state-2014,Sean Mannion,sean mannion,9522.0,504786,,,,,Oregon State,Oregon State:2014,1,2015,True,False,True
bryce-petty-baylor-2014,Bryce Petty,bryce petty,9536.0,480746,,,,,Baylor,Baylor:2014,1,2015,True,False,True
jamison-crowder-duke-2014,Jamison Crowder,jamison crowder,9538.0,,,,,,Duke,Duke:2014,1,2015,True,False,False
david-cobb-minnesota-2014,David Cobb,david cobb,9571.0,,,,,,Minnesota,Minnesota:2014,1,2015,True,False,False
brett-hundley-ucla-2014,Brett Hundley,brett hundley,9580.0,511982,,,,,UCLA,UCLA:2014,1,2015,True,False,True
c-j-uzomah-auburn-2014,C.J. Uzomah,cj uzomah,9590.0,,,,,,Auburn,Auburn:2014,1,2015,True,False,False
evan-spencer-ohio-state-2014,Evan Spencer,evan spencer,9620.0,,,,,,Ohio State,Ohio State:2014,1,2015,True,False,False
joey-iosefa-hawaii-2014,Joey Iosefa,joseph iosefa,9664.0,,,,,,Hawaii,Hawaii:2014,1,2015,True,False,False
trevor-siemian-northwestern-2014,Trevor Siemian,trevor siemian,9683.0,500419,,,,,Northwestern,Northwestern:2014,1,2015,True,False,True
dylan-thompson-south-carolina-2014,Dylan Thompson,dylan thompson,9696.0,504295,,,,,South Carolina,South Carolina:2014,1,2015,True,False,True
bryan-bennett-se-louisiana-2014,Bryan Bennett,bryan bennett,9699.0,504745,,,,,SE Louisiana,SE Louisiana:2014,1,2015,True,False,True
connor-halliday-washington-state-2014,Connor Halliday,connor halliday,9724.0,504823,,,,,Washington State,Washington State:2014,1,2015,True,False,True
anthony-boone-duke-2014,Anthony Boone,anthony boone,9751.0,501046,,,,,Duke,Duke:2014,1,2015,True,False,True
matthew-miller-boise-state-2014,Matthew Miller,matthew miller,9788.0,,,,,,Boise State,Boise State:2014,1,2015,True,False,False
nick-marshall-auburn-2014,Nick Marshall,nicholas marshall,9829.0,550021,,,,,Auburn,Auburn:2014,1,2015,True,False,True
jake-waters-kansas-state-2014,Jake Waters,jacob waters,9833.0,550158,,,,,Kansas State,Kansas State:2014,1,2015,True,False,True
akeem-hunt-purdue-2014,Akeem Hunt,akeem hunt,9839.0,,,,,,Purdue,Purdue:2014,1,2015,True,False,False
jameill-showers-utep-2014,Jameill Showers,jameill showers,9851.0,500571,,,,,UTEP,UTEP:2014,1,2015,True,False,True
taylor-heinicke-old-dominion-2014,Taylor Heinicke,taylor heinicke,9896.0,513949,,,,,Old Dominion,Old Dominion:2014,1,2015,True,False,True
tyler-murphy-boston-college-2014,Tyler Murphy,tyler murphy,9912.0,503970,,,,,Boston College,Boston College:2014,1,2015,True,False,True
devin-gardner-michigan-2014,Devin Gardner,devin gardner,9949.0,501543,,,,,Michigan,Michigan:2014,1,2015,True,False,True
cody-fajardo-nevada-2014,Cody Fajardo,cody fajardo,9976.0,501241,,,,,Nevada,Nevada:2014,1,2015,True,False,True
shane-carden-east-carolina-2014,Shane Carden,shane carden,10001.0,500938,,,,,East Carolina,East Carolina:2014,1,2015,True,False,True
darius-jennings-virginia-2014,Darius Jennings,darius jennings,10038.0,,,,,,Virginia,Virginia:2014,1,2015,True,False,False
jake-heaps-miami-2014,Jake Heaps,jacob heaps,10085.0,501563,,,,,Miami,Miami:2014,1,2015,True,False,True
cole-stoudt-clemson-2014,Cole Stoudt,cole stoudt,10142.0,512052,,,,,Clemson,Clemson:2014,1,2015,True,False,True
david-porter-jr-tcu-2014,David Porter Jr.,david porter,10149.0,,,,,,TCU,TCU:2014,1,2015,True,False,False
deshon-foxx-connecticut-2014,Deshon Foxx,deshon foxx,10160.0,,,,,,Connecticut,Connecticut:2014,1,2015,True,False,False
hutson-mason-georgia-2014,Hutson Mason,hutson mason,10168.0,504004,,,,,Georgia,Georgia:2014,1,2015,True,False,True
zach-d-orazio-akron-2014,Zach D'Orazio,zachary dorazio,10180.0,,,,,,Akron,Akron:2014,1,2015,True,False,False
jarrod-west-syracuse-2014,Jarrod West,jarrod west,10309.0,,,,,,Syracuse,Syracuse:2014,1,2015,True,False,False
ryan-williams-miami-2014,Ryan Williams,ryan williams,10343.0,509992,,,,,Miami,Miami:2014,1,2015,True,False,True
jared-goff-california-2015,Jared Goff,jared goff,10635.0,547401,jaredgoff,jared-goff-1,GoffJa00,00-0033106,California,California:2014;California:2015,2,2016,True,True,True
carson-wentz-north-dakota-state-2015,Carson Wentz,carson wentz,10636.0,515607,carsonwentz,,WentCa00,00-0032950,North Dakota State,North Dakota State:2014;North Dakota State:2015,2,2016,True,True,True
laquon-treadwell-ole-miss-2015,Laquon Treadwell,laquon treadwell,10657.0,,,,,,Ole Miss,Ole Miss:2015,1,2016,True,False,False
paxton-lynch-memphis-2015,Paxton Lynch,paxton lynch,10660.0,534849,paxtonlynch,paxton-lynch-1,LyncPa00,00-0033108,Memphis,Memphis:2014;Memphis:2015,2,2016,True,True,True
christian-hackenberg-penn-state-2015,Christian Hackenberg,christian hackenberg,10685.0,552329,christianhackenberg,christian-hackenberg-1,HackCh01,00-0032953,Penn State,Penn State:2014;Penn State:2015,2,2016,True,True,True
tyler-boyd-pittsburgh-2015,Tyler Boyd,tyler boyd,10689.0,,,,,,Pittsburgh,Pittsburgh:2014;Pittsburgh:2015,2,2016,True,False,False
