season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2025,550577,Jordan Brown,WR,Fresno State,MWC,0.857,0.857,,0.829,0.183,1.397,0.521,1.193,10.28,10.28,0.0,4.143,0.548,5.588,3.123,7.156
2025,553348,Jake Ryder,QB,Villanova,,-0.427,-0.559,-0.295,-0.559,-0.295,,-0.559,-0.295,-0.853,-0.559,-0.295,-0.559,-0.295,0.0,-0.559,-0.295
2025,3116099,Monte Harrison,WR,Arkansas,SEC,0.67,0.67,,0.67,,,0.67,,0.67,0.67,0.0,0.67,0.0,0.0,0.67,0.0
2025,3149911,Jordan Jackson,WR,Arkansas-Pine Bluff,,0.374,0.374,,0.056,0.04,0.99,-0.09,0.752,10.851,10.851,0.0,0.675,0.278,9.897,-1.176,12.027
2025,3949586,Jake Taylor,TE,Duke,ACC,0.093,0.093,,-0.837,-0.374,1.257,0.093,,0.467,0.467,0.0,-1.673,-0.374,2.514,0.467,0.0
2025,4241676,Kordell Rodgers,TE,Texas Southern,,0.566,0.566,,0.602,0.26,0.706,0.74,0.344,14.141,14.141,0.0,4.813,1.558,7.77,10.357,3.783
2025,4244849,Marcel Williams,WR,Akron,MAC,0.624,0.624,,0.476,0.581,0.949,0.395,1.109,34.969,34.969,0.0,12.379,11.048,9.488,15.01,19.959
2025,4258419,Hunter Smith,RB,Temple,AAC,0.085,0.284,0.063,-0.105,0.329,-0.186,-0.091,0.774,4.179,1.421,2.758,-2.738,5.599,-0.928,-3.56,7.739
2025,4362188,Sterling Galban,WR,East Tennessee State,,-0.004,-0.004,,0.18,-0.097,-0.372,0.278,-0.356,-0.036,-0.036,0.0,0.721,-0.386,-0.372,1.39,-1.426
2025,4362263,Jalynn Williams,RB,Pittsburgh,ACC,0.152,0.654,0.052,0.422,-0.239,-0.056,0.152,,0.913,0.654,0.259,1.265,-0.239,-0.113,0.913,0.0
2025,4366640,Solomon Vanhorse,RB,Indiana,B1G,0.398,,0.398,-0.035,0.305,2.409,0.179,1.054,3.185,0.0,3.185,-0.14,0.916,2.409,1.077,2.109
2025,4379471,Tyler Brown,WR,Clemson,ACC,0.289,0.198,0.874,0.46,0.055,0.389,0.393,0.097,10.707,6.337,4.37,7.366,0.383,5.053,9.441,1.266
2025,4426333,John Emery Jr.,RB,UTSA,AAC,-0.552,,-0.552,-1.599,1.981,-1.374,-1.396,1.981,-2.208,0.0,-2.208,-1.599,1.981,-1.374,-4.189,1.981
2025,4426417,Jacob Zeno,QB,Texas A&M,SEC,0.086,0.086,,-0.397,0.427,-0.451,0.019,0.187,0.432,0.432,0.0,-0.397,1.28,-0.451,0.057,0.374
2025,4426460,Jackson Lowe,TE,Incarnate Word,,0.45,0.45,,0.094,0.312,1.192,0.383,0.518,3.603,3.603,0.0,0.281,0.937,2.384,1.532,2.071
2025,4426688,Kaiden Bennett,QB,Delaware State,,0.206,0.111,0.434,-0.074,0.392,0.321,0.025,0.453,57.464,21.236,37.337,-7.754,37.638,22.165,4.055,53.409
2025,4426840,Shadrick Byrd,RB,Prairie View A&M,,0.17,0.612,0.065,0.039,0.372,0.398,-0.015,0.855,7.99,5.509,2.481,1.133,4.468,2.389,-0.563,8.554
2025,4426847,Zach Calzada,QB,Kentucky,SEC,-0.114,-0.206,0.36,-0.07,-0.338,0.103,0.091,-0.345,-7.77,-11.726,3.956,-1.326,-8.438,2.266,3.265,-11.035
2025,4426910,Kenan Christon,RB,Jackson State,,-0.113,,-0.113,-0.495,0.269,,-0.1,-0.203,-0.9,0.0,-0.9,-1.978,1.078,0.0,-0.697,-0.203
2025,4426998,Javien Cuff,WR,UT Rio Grande Valley,,0.233,0.233,,1.02,-1.202,2.616,0.662,-0.625,2.096,2.096,0.0,5.099,-2.404,2.616,3.97,-1.874
2025,4427191,Dequan Finn,QB,Miami (OH),MAC,0.297,0.289,0.364,0.133,0.403,0.309,0.181,0.503,65.936,45.068,23.682,12.361,28.21,16.988,25.687,40.249
2025,4427313,Ta'Quan Roberson,QB,Buffalo,MAC,0.205,0.192,0.355,0.037,0.191,0.43,0.093,0.368,81.421,65.5,19.55,6.275,22.759,41.71,21.87,59.55
2025,4427455,Cade McNamara,QB,East Tennessee State,,0.171,0.139,0.475,-0.002,0.197,0.374,0.104,0.28,34.678,25.645,9.033,-0.176,12.972,18.679,13.099,21.579
2025,4427611,Garrison Johnson,RB,The Citadel,,0.071,-0.367,0.095,0.135,0.014,0.343,0.054,0.148,5.47,-1.47,6.939,4.863,0.452,2.4,3.397,2.073
2025,4427622,Marqui Johnson,RB,Bethune-Cookman,,-0.002,-0.214,0.084,0.06,0.012,-0.13,0.002,-0.012,-0.084,-3.208,3.124,1.433,0.175,-1.692,0.09,-0.174
2025,4427630,Oscar Adaway III,RB,South Carolina,SEC,0.046,0.236,-0.016,-0.234,0.107,0.305,-0.067,0.205,2.438,3.063,-0.625,-3.983,2.456,3.965,-2.075,4.513
2025,4427647,Jermaine Johnson Jr.,WR,Duquesne,,0.142,0.174,-0.773,0.057,0.771,0.057,0.007,0.308,4.113,4.885,-0.773,0.747,5.399,0.401,0.106,4.007
2025,4427916,Tony Mathis,RB,Marshall,SBC,-0.378,,-0.378,-0.497,-0.223,-0.365,-0.47,-0.223,-3.021,0.0,-3.021,-1.986,-0.67,-0.365,-2.351,-0.67
2025,4427966,Maverick McIvor,QB,Western Kentucky,CUSA,0.265,0.255,0.374,0.265,0.132,0.562,0.227,0.325,81.398,71.669,9.73,30.731,12.653,49.463,42.131,39.267
2025,4427971,Dontae McMillan,RB,Eastern Michigan,MAC,0.201,0.574,0.121,0.079,0.178,0.752,0.145,0.414,40.947,20.674,20.273,8.837,11.93,18.06,23.567,17.379
2025,4427983,Dawaiian McNeely,RB,Valparaiso,,-0.076,0.576,-0.114,-0.162,-0.033,0.59,-0.09,-0.039,-4.106,1.727,-5.833,-4.845,-0.669,1.77,-3.517,-0.588
2025,4428167,Justin Olson,WR,Charlotte,AAC,1.251,1.251,,,1.251,,3.319,0.216,3.752,3.752,0.0,0.0,3.752,0.0,3.319,0.432
2025,4428167,Justin Olson,WR,Charlotte,,1.251,1.251,,,1.251,,3.319,0.216,3.752,3.752,0.0,0.0,3.752,0.0,3.319,0.432
2025,4428216,Alec Pell,TE,Austin Peay,,1.135,1.135,,0.937,1.332,,0.655,2.575,4.539,4.539,0.0,1.875,2.665,0.0,1.964,2.575
2025,4428272,Juwuan Price,RB,Massachusetts,MAC,-0.065,-0.276,0.002,-0.352,0.129,0.19,-0.078,-0.026,-2.161,-2.209,0.048,-4.924,0.646,2.279,-1.95,-0.211
2025,4428451,Brett Seither,TE,Georgia Tech,ACC,0.817,0.817,,0.672,0.169,1.972,0.755,0.916,10.621,10.621,0.0,4.029,0.675,5.917,6.039,4.581
2025,4428475,La'Vontae Shenault,WR,Northeastern State,,0.729,0.729,,0.967,1.237,0.44,0.967,0.649,5.828,5.828,0.0,1.934,2.474,1.321,1.934,3.894
2025,4428993,Haynes King,QB,Georgia Tech,ACC,0.321,0.354,0.323,0.16,0.308,0.648,0.256,0.463,157.981,116.264,52.037,31.77,51.499,75.136,86.644,71.336
2025,4428994,Arik Gilbert,TE,Savannah St,,0.518,0.518,,-0.734,4.213,-0.702,-0.734,0.936,2.074,2.074,0.0,-0.734,4.213,-1.405,-0.734,2.808
2025,4429066,Jeff Sims,QB,Arizona State,B12,0.066,0.068,0.153,-0.281,0.059,0.658,-0.219,0.415,17.263,11.845,12.512,-25.278,5.329,43.436,-31.329,48.591
