player,normalized_player,pfr_player_id,gsis_id,cfb_player_id,draft_season,position,college,height_raw,height,weight,forty,vertical,broad,three_cone,short_shuttle,bench,combine_invite,combine_participation,pro_day_used,testing_source,ras_score,speed_score,burst_score,agility_score,ten_yard_split,twenty_yard_split,arm_length,hand_size,wingspan,bmi,testing_coverage_score,testing_notes
Mehdi Abdesmad,mehdiabdesmad,AbdeMe00,00-0032860,mehdi-abdesmad-1,2016,DE,Boston Col.,6-6,78.0,284.0,5.1,29.5,108.0,7.55,4.62,25.0,1,1,0,nflverse_combine,,,,,,,,,,32.81591058514135,1.0,
Vernon Adams,vernonadams,,,vernon-adams-1,2016,QB,Oregon,5-11,71.0,200.0,4.83,29.5,114.0,6.82,4.2,,1,1,0,nflverse_combine,,,,,,,,,,27.891291410434437,0.8888888888888888,
Jerell Adams,jerelladams,AdamJe01,00-0032429,jerell-adams-1,2016,TE,South Carolina,6-5,77.0,247.0,4.64,32.5,117.0,7.05,4.31,,1,1,0,nflverse_combine,,,,,,,,,,29.286726260752236,0.8888888888888888,
Bralon Addison,bralonaddison,AddiBr01,00-0032482,bralon-addison-1,2016,WR,Oregon,5-9,69.0,197.0,4.66,34.5,116.0,6.95,4.14,13.0,1,1,0,nflverse_combine,,,,,,,,,,29.08863684099979,1.0,
Roberto Aguayo,robertoaguayo,AguaRo00,00-0033102,roberto-aguayo-1,2016,K,Florida State,6-0,72.0,207.0,4.96,,,,,,1,1,0,nflverse_combine,,,,,,,,,,28.071180555555557,0.4444444444444444,
Dominique Alexander,dominiquealexander,AlexDo01,00-0032983,dominique-alexander-1,2016,ILB,Oklahoma,6-0,72.0,232.0,4.64,28.5,104.0,,,17.0,1,1,0,nflverse_combine,,,,,,,,,,31.46141975308642,0.7777777777777778,
Mackensie Alexander,mackensiealexander,AlexMa01,00-0032389,mackensie-alexander-1,2016,CB,Clemson,5-10,70.0,190.0,4.43,,,,,11.0,1,1,0,nflverse_combine,,,,,,,,,,27.259183673469387,0.5555555555555556,
Vadal Alexander,vadalalexander,AlexVa00,00-0032899,vadal-alexander-1,2016,OT,LSU,6-5,77.0,326.0,5.57,24.0,95.0,8.04,4.9,25.0,1,1,0,nflverse_combine,,,,,,,,,,38.65373587451509,1.0,
Brandon Allen,brandonallen,AlleBr00,00-0032434,brandon-allen-2,2016,QB,Arkansas,6-1,73.0,217.0,4.84,28.0,110.0,7.06,4.33,,1,1,0,nflverse_combine,,,,,,,,,,28.6265715894164,0.8888888888888888,
Jack Allen,jackallen,AlleJa03,00-0032872,jack-allen-2,2016,C,Michigan State,6-1,73.0,294.0,5.29,26.5,101.0,7.9,4.73,23.0,1,1,0,nflverse_combine,,,,,,,,,,38.78438731469319,1.0,
Geronimo Allison,geronimoallison,AlliGe01,00-0032626,geronimo-allison-1,2016,WR,Illinois,6-3,75.0,196.0,4.67,33.0,127.0,7.4,4.28,,1,1,0,nflverse_combine,,,,,,,,,,24.495644444444444,0.8888888888888888,
Stephen Anderson,stephenanderson,AndeSt01,00-0032725,stephen-anderson-2,2016,TE,California,6-2,74.0,230.0,4.59,38.0,119.0,,,16.0,1,1,0,nflverse_combine,,,,,,,,,,29.527027027027028,0.7777777777777778,
Eli Apple,eliapple,ApplEl00,00-0032379,eli-apple-1,2016,CB,Ohio State,6-1,73.0,199.0,4.4,,,,,13.0,1,1,0,nflverse_combine,,,,,,,,,,26.25201726402702,0.5555555555555556,
Demarcus Ayers,demarcusayers,AyerDe00,00-0032365,demarcus-ayers-1,2016,WR,Houston,5-9,69.0,182.0,4.72,33.0,123.0,,,,1,1,0,nflverse_combine,,,,,,,,,,26.87376601554295,0.6666666666666666,
Sterling Bailey,sterlingbailey,,,sterling-bailey-1,2016,DE,Georgia,6-4,76.0,285.0,5.23,30.0,111.0,7.46,4.73,20.0,1,1,0,nflverse_combine,,,,,,,,,,34.6875,1.0,
Peyton Barber,peytonbarber,BarbPe01,00-0032741,peyton-barber-1,2016,RB,Auburn,5-10,70.0,228.0,4.64,32.5,111.0,7.0,4.21,20.0,1,1,0,nflverse_combine,,,,,,,,,,32.711020408163265,1.0,
Jimmy Bean,jimmybean,BeanJi01,00-0033192,jimmy-bean-1,2016,DE,Oklahoma State,6-5,77.0,264.0,4.87,,,,,20.0,1,1,0,nflverse_combine,,,,,,,,,,31.302411873840445,0.5555555555555556,
Willie Beavers,williebeavers,BeavWi00,00-0032405,willie-beavers-1,2016,OT,West. Michigan,6-5,77.0,321.0,5.28,25.5,103.0,7.96,4.71,20.0,1,1,0,nflverse_combine,,,,,,,,,,38.06088716478327,1.0,
Vonn Bell,vonnbell,BellVo00,00-0032939,vonn-bell-2,2016,S,Ohio State,5-11,71.0,199.0,4.52,,,,,16.0,1,1,0,nflverse_combine,,,,,,,,,,27.751834953382264,0.5555555555555556,
Caleb Benenoch,calebbenenoch,BeneCa00,00-0032779,caleb-benenoch-1,2016,OT,UCLA,6-5,77.0,311.0,4.98,28.0,104.0,8.15,5.11,,1,1,0,nflverse_combine,,,,,,,,,,36.87518974531962,0.8888888888888888,
Andrew Billings,andrewbillings,BillAn00,00-0033066,andrew-billings-1,2016,DT,Baylor,6-1,73.0,311.0,5.05,27.5,113.0,8.05,4.82,31.0,1,1,0,nflverse_combine,,,,,,,,,,41.02702195533871,1.0,
Ronald Blair,ronaldblair,BlaiRo00,00-0032413,ronald-blair-1,2016,DE,Appalachian State,6-2,74.0,284.0,5.15,30.0,113.0,7.95,4.53,32.0,1,1,0,nflverse_combine,,,,,,,,,,36.45945945945946,1.0,
Austin Blythe,austinblythe,BlytAu00,00-0032455,austin-blythe-1,2016,C,Iowa,6-2,74.0,298.0,5.36,27.5,99.0,7.52,4.53,29.0,1,1,0,nflverse_combine,,,,,,,,,,38.25675675675676,1.0,
Briean Boddy-Calhoun,brieanboddycalhoun,BoddBr01,00-0032517,briean-boddy-calhoun-1,2016,CB,Minnesota,5-9,69.0,193.0,4.47,35.0,123.0,7.16,4.22,10.0,1,1,0,nflverse_combine,,,,,,,,,,28.498004620877968,1.0,
Evan Boehm,evanboehm,BoehEv00,00-0032777,evan-boehm-1,2016,C,Missouri,6-2,74.0,302.0,5.33,28.5,96.0,7.52,4.69,24.0,1,1,0,nflverse_combine,,,,,,,,,,38.770270270270274,1.0,
Devante Bond,devantebond,BondDe00,00-0032789,devante-bond-1,2016,OLB,Oklahoma,6-1,73.0,235.0,4.7,37.5,121.0,7.07,4.36,21.0,1,1,0,nflverse_combine,,,,,,,,,,31.00112591480578,1.0,
Devontae Booker,devontaebooker,BookDe00,00-0032972,devontae-booker-1,2016,RB,Utah,5-11,71.0,219.0,4.56,,,,,22.0,1,1,0,nflverse_combine,,,,,,,,,,30.54096409442571,0.5555555555555556,
Joey Bosa,joeybosa,BosaJo00,00-0033156,joey-bosa-1,2016,DE,Ohio State,6-5,77.0,269.0,4.86,32.0,120.0,6.89,4.21,24.0,1,1,0,nflverse_combine,,,,,,,,,,31.895260583572274,1.0,
Tyler Boyd,tylerboyd,BoydTy00,00-0033009,tyler-boyd-1,2016,WR,Pittsburgh,6-1,73.0,197.0,4.58,34.0,119.0,6.9,4.35,11.0,1,1,0,nflverse_combine,,,,,,,,,,25.988177894539312,1.0,
Trevone Boykin,trevoneboykin,BoykTr00,00-0032462,trevone-boykin-1,2016,QB,TCU,6-0,72.0,212.0,4.77,32.0,110.0,,4.4,,1,1,0,nflverse_combine,,,,,,,,,,28.749228395061728,0.7777777777777778,
James Bradberry,jamesbradberry,BradJa00,00-0032890,,2016,CB,Samford,6-1,73.0,211.0,4.5,36.0,124.0,6.91,4.21,16.0,1,1,0,nflverse_combine,,,,,,,,,,27.835053480953274,1.0,
Ben Braunecker,benbraunecker,BrauBe00,00-0032661,,2016,TE,Harvard,6-3,75.0,250.0,4.73,35.5,121.0,6.9,4.2,20.0,1,1,0,nflverse_combine,,,,,,,,,,31.244444444444444,1.0,
Jake Brendel,jakebrendel,BrenJa01,00-0032701,jake-brendel-1,2016,C,UCLA,6-3,75.0,303.0,5.01,28.0,108.0,7.31,4.27,25.0,1,1,0,nflverse_combine,,,,,,,,,,37.86826666666666,1.0,
