player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Luke Falk,46586,QB,WASH STATE,13,9.81,0,697,341,74.4,519,541,9.1,2.89,2,30,5.2,65.6,355,132,8.0,600,86.1,31,0.15,207,,,,,70.4,82.2,75.2,,82.8,,,50.3,,,7,11,642,48.0,22.0,99.3,4.8,29,30,1,12,35,17,2.6,3822,7.1,76.7,549,571,8.1,2.75,3,28,4.6,68.7,392,122,6.9,627,90.0,29,0.15,211,,,,,70.9,80.6,83.3,,81.2,,,46.8,,,6,11,667,49.0,24.6,101.3,4.8,30,26,1,12,35,17,2.5,4061,7.1,90.0,60,65,1.7,2.44,0,2,2.9,78.5,51,15,5.6,70,10.0,3,0.1,23,,,,,70.9,82.8,23.7,,81.8,,,68.7,,,2,0,74,44.3,6.7,108.1,1.4,1,4,0,3,3,0,0.0,407,6.3,0,98.9,90,95,-2.0,1.65,1,0,0.0,92.6,88,5,1.1,97,13.9,1,0.13,27,,,,,71.9,72.3,78.3,,71.6,,,,,,1,0,99,51.5,40.0,105.5,2.1,2,0,0,3,3,0,0.0,646,6.8,-0.85
Patrick Mahomes,11765,QB,TEXAS TECH,12,2.4,0,669,315,71.9,467,504,11.5,2.97,3,41,7.6,61.3,309,240,8.0,578,86.4,27,0.35,227,,,,,74.3,89.1,82.4,,86.5,60.0,,70.5,,,2,9,615,50.7,10.4,107.1,4.3,25,49,1,31,37,28,4.6,4457,8.8,74.5,385,407,9.6,2.88,2,31,7.2,64.6,263,190,8.4,470,70.3,24,0.32,168,,,,,77.7,89.3,89.1,,85.9,60.0,,72.5,,,2,6,497,49.8,10.5,102.6,4.3,20,43,1,17,23,20,4.0,3314,8.1,77.6,170,188,8.5,2.5,1,11,5.5,67.0,126,55,4.5,199,29.7,6,0.3,83,,,,,63.3,78.6,57.9,,79.6,,,50.2,,,0,4,212,53.8,9.1,119.6,2.5,5,6,0,17,18,8,3.8,1742,9.3,0,94.3,88,91,-2.5,1.51,0,1,1.1,87.9,80,5,3.6,91,13.6,3,0.1,24,,,,,71.7,77.1,78.1,,76.3,,,,,,0,1,94,52.7,0.0,104.2,0.0,0,0,0,3,4,0,0.0,599,6.6,1.13
Davis Webb,11842,QB,CAL,12,3.45,0,642,130,63.1,474,500,11.8,2.5,5,34,6.3,54.8,274,131,8.4,520,81.0,25,0.1,168,,,,,63.8,70.3,68.2,,70.9,,,43.4,,,6,11,561,43.7,12.2,90.5,3.1,16,3,0,15,34,26,4.6,3508,7.0,69.2,428,450,9.6,2.37,5,26,5.4,60.7,273,103,7.8,470,73.2,23,0.13,148,,,,,68.1,70.6,66.7,,71.7,,,43.0,,,5,9,501,44.0,13.6,94.0,3.0,14,4,0,12,27,19,3.8,3210,7.1,71.3,164,170,7.4,2.18,0,8,4.3,64.1,109,33,6.8,172,26.8,8,0.03,55,,,,,61.3,65.3,81.1,,64.6,,,,,,1,3,186,45.3,6.1,94.3,1.2,2,0,0,5,10,9,4.8,1081,6.4,0,96.6,118,120,-2.5,1.54,0,0,0.0,90.0,108,5,5.3,122,19.0,6,0.08,35,,,,,72.7,65.2,79.3,,65.1,,,57.8,,,0,1,126,47.5,0.0,98.7,0.0,0,1,0,2,3,2,1.6,783,6.5,-0.77
Deshaun Watson,11767,QB,CLEMSON,15,-1.65,0,628,140,69.9,418,445,13.1,2.51,12,31,6.5,59.1,263,157,9.9,493,78.5,29,0.2,202,,,,,77.3,87.0,90.1,,87.6,,,63.8,,,6,17,528,51.9,11.5,100.0,3.7,18,30,1,8,39,20,3.8,3780,8.5,76.4,433,455,8.8,2.21,10,22,4.6,67.3,306,119,7.6,485,77.2,25,0.2,182,,,,,77.0,86.9,90.0,,86.3,,,65.9,,,5,12,515,52.2,10.9,97.6,2.7,13,17,1,6,26,15,2.9,3435,7.5,74.8,119,125,10.7,2.46,3,9,6.9,65.6,82,43,7.9,143,22.8,7,0.14,58,,,,,73.6,75.8,80.1,,78.5,,,51.9,,,1,5,150,55.2,11.6,118.0,3.5,5,13,0,2,15,5,3.3,1150,9.2,0,95.5,134,135,-2.8,1.4,1,0,0.0,92.6,125,5,2.3,135,21.5,3,0.14,38,,,,,73.0,74.2,79.7,,73.3,,,,,,0,0,137,56.3,0.0,96.5,0.0,0,0,0,0,2,0,0.0,805,6.0,1.65
David Blough,46508,QB,PURDUE,12,1.44,0,575,273,65.0,432,468,10.5,2.67,5,24,4.8,53.4,250,168,11.0,524,91.1,31,-0.1,149,,,,66.7,70.1,53.9,65.3,,54.2,56.2,,55.2,,,3,21,556,41.6,16.7,71.9,5.3,28,28,1,27,23,27,4.9,3105,6.6,68.8,385,419,8.6,2.6,6,15,3.4,56.6,237,146,10.6,469,81.6,28,-0.1,125,,,,,68.7,57.0,63.4,,58.0,56.2,,53.6,,,3,14,496,39.9,17.8,72.1,5.5,26,24,1,24,14,20,4.0,2578,6.2,64.9,94,100,11.4,2.53,0,9,8.3,58.0,58,31,4.9,106,18.4,3,-0.13,35,,,,66.7,72.5,54.7,79.0,,53.3,57.4,,65.0,,,0,7,115,45.3,6.5,90.1,1.9,2,4,0,6,11,7,6.1,772,7.7,0,95.7,47,51,-2.8,1.77,1,0,0.0,88.2,45,9,0.0,51,8.9,0,-0.18,11,,,,,70.0,74.8,76.2,,75.1,57.6,,,,,0,0,55,33.3,0.0,99.8,0.0,0,0,0,3,2,0,0.0,245,4.8,1.57
Greg Ward,12258,QB,HOUSTON,12,2.0,0,565,182,69.0,365,389,11.5,3.03,5,18,4.4,62.0,241,165,4.4,477,84.4,11,0.18,178,,,,,66.4,78.1,81.8,,77.0,46.8,,66.6,,,2,12,497,48.8,19.4,90.5,6.7,32,52,2,15,20,18,3.6,3031,7.8,72.5,320,334,9.2,2.75,4,16,4.6,67.1,224,138,3.4,411,72.7,8,0.19,147,,,,,59.1,75.7,80.7,,74.0,46.8,,67.0,,,2,10,427,47.3,18.8,89.8,6.3,26,44,2,6,12,15,3.5,2595,7.8,77.5,129,139,8.0,2.73,1,2,1.4,69.1,96,28,4.0,154,27.3,4,0.02,50,,,,,73.6,77.9,80.4,,77.6,,,59.3,,,0,3,159,51.9,25.0,102.8,4.5,7,8,0,9,10,4,2.5,940,6.8,0,95.2,84,84,-2.4,1.18,0,0,0.0,94.0,79,1,1.3,88,15.6,1,-0.06,19,,,,,49.7,70.5,77.8,,69.8,,,,,,0,1,89,47.2,100.0,94.6,1.1,1,0,0,0,2,1,1.1,504,6.0,-1.01
Ryan Higgins,22948,QB,LA TECH,13,12.6,0,555,208,70.2,393,419,11.5,2.64,11,20,4.6,61.8,259,131,6.2,475,85.6,17,0.41,184,,,,,63.5,65.1,89.2,,65.8,,,54.4,,,4,8,491,51.8,15.3,113.1,4.2,20,36,1,10,35,19,3.9,3987,9.5,72.0,371,396,10.0,2.56,9,16,3.9,63.6,252,115,5.6,446,80.4,15,0.38,170,,,,,68.8,61.8,89.0,,62.1,,,55.0,,,4,7,460,51.6,14.8,111.5,3.8,17,32,1,11,31,19,4.1,3582,9.0,84.7,98,101,6.6,2.13,3,4,3.8,76.2,77,19,7.2,109,19.6,6,0.55,43,,,,,53.8,78.7,78.8,,79.0,,,55.7,,,0,1,112,62.4,21.1,137.4,3.7,4,4,0,0,10,1,0.9,1039,10.3,0,97.4,76,78,-2.3,1.49,1,0,0.0,89.7,70,3,5.4,80,14.4,4,0.47,29,,,,,71.2,69.6,77.5,,69.0,,,,,,0,0,81,65.0,33.3,126.2,1.3,1,0,0,1,6,1,1.2,634,8.1,1.24
Clayton Thorson,46501,QB,NWESTERN,13,7.12,0,536,256,67.5,406,449,9.7,2.81,7,20,4.2,56.8,255,204,6.9,504,94.0,19,0.05,157,,,,,55.3,65.0,90.0,,65.8,60.0,,51.6,,,6,9,529,44.0,18.6,85.7,7.5,38,17,1,29,22,23,4.3,3047,6.8,68.6,354,389,8.9,2.75,7,17,4.1,57.3,223,179,8.2,440,82.1,20,0.01,131,,,,,46.6,60.3,89.7,,60.5,,,53.0,,,5,8,461,43.4,19.6,82.1,8.0,35,14,1,22,16,22,4.8,2531,6.5,74.1,81,90,8.4,2.61,0,3,3.2,64.4,58,28,3.3,96,17.9,2,0.19,32,,,,,71.9,79.7,78.4,,81.0,60.0,,51.0,,,1,1,100,46.9,10.7,103.4,3.1,3,3,0,8,6,1,1.0,648,7.2,0,100.0,29,30,-3.2,1.44,0,0,0.0,86.7,26,3,10.3,32,6.0,3,-0.11,6,,,,,28.6,60.1,74.0,,59.7,,,,,,0,0,32,43.8,0.0,85.0,0.0,0,0,0,1,0,0,0.0,132,4.4,0.69
Cooper Rush,12324,QB,C MICHIGAN,13,0.51,0,524,134,68.3,388,419,11.3,2.73,9,28,6.3,57.0,239,177,9.8,477,91.0,26,0.06,157,,,,,37.6,78.0,89.4,,76.0,42.9,,64.7,,,6,16,505,44.9,21.5,85.3,8.0,38,20,1,15,23,19,3.8,3348,8.0,72.4,315,342,8.9,2.57,11,16,4.5,59.6,204,128,10.5,386,73.7,24,-0.01,108,,,,,36.6,75.7,88.8,,73.8,47.0,,64.1,,,6,14,404,42.2,21.1,80.1,7.0,27,16,1,9,16,15,3.7,2440,7.1,66.4,116,123,12.4,2.88,1,12,9.0,60.2,74,51,3.9,138,26.3,3,0.16,52,,,,,58.5,76.0,80.1,,75.1,54.3,,63.1,,,0,2,148,47.1,21.6,101.4,8.0,11,4,0,6,7,4,2.7,1093,8.9,0,93.0,43,46,-3.4,1.86,3,0,0.0,84.8,39,2,2.5,47,9.0,1,-0.28,3,,,,,69.5,68.5,75.4,,68.0,,,,,,0,0,47,29.8,0.0,83.4,0.0,0,0,0,0,0,0,0.0,185,4.0,1.76
Kenny Hill,46637,QB,TCU,13,-3.98,0,517,305,67.0,361,377,12.4,2.98,6,18,4.6,54.6,206,124,14.9,446,86.3,36,0.07,139,,,,,41.2,68.3,55.2,,62.0,,,75.0,,,2,13,466,45.3,21.0,78.9,5.8,26,42,4,4,16,24,5.2,2853,7.6,71.9,345,359,8.6,2.73,4,11,2.9,61.3,220,105,11.3,419,81.0,28,0.05,128,,,,,39.3,64.9,45.0,,58.6,54.3,,74.5,,,2,12,436,45.3,21.9,79.1,5.5,23,37,4,4,13,22,5.0,2392,6.7,70.9,86,89,14.8,2.86,2,7,7.7,57.3,51,21,16.4,98,19.0,10,0.13,30,,,,,72.0,78.7,78.4,,76.8,,,66.9,,,0,1,102,49.0,14.3,98.8,3.1,3,5,0,1,4,2,2.0,826,9.3,0,95.7,70,71,-3.1,1.34,0,0,0.0,91.5,65,2,3.0,71,13.7,2,0.04,19,,,,,70.8,69.7,23.3,,71.4,54.3,,,,,0,0,72,50.7,0.0,92.8,0.0,0,0,0,1,1,0,0.0,365,5.1,2.62
