player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_snap,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_snap,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_snap,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_snap,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Tyler Rogers,46638,QB,NEW MEX ST,12,-10.02,0,616,242,68.4,490,513,10.2,2.73,5,25,4.7,58.5,300,208,10.4,561,91.1,35,0.03,172,,,,,66.2,73.7,73.4,,73.5,51.6,,58.7,,,,1,18,579,40.5,13.5,84.1,5.0,28,19,2,15,27,33,5.7,3741,7.3,71.3,495,514,8.8,2.66,5,21,3.9,61.9,318,191,9.9,559,90.7,35,0.04,169,,,,,66.2,71.9,73.3,,71.6,54.3,,59.4,,,,1,18,579,40.8,13.6,82.9,4.7,26,18,2,11,21,33,5.7,3735,7.3,65.3,49,54,9.9,2.43,1,4,7.3,51.9,28,25,12.5,57,9.3,4,-0.11,13,,,,,70.1,77.0,76.3,,77.5,60.0,,57.3,,,,0,0,58,29.8,8.0,105.6,3.5,2,1,0,4,6,1,1.7,302,5.6,0,92.6,54,55,-2.6,1.67,1,0,0.0,83.6,46,8,8.0,55,8.9,4,-0.07,10,,,,,70.1,65.6,76.2,,65.1,,,,,,,0,0,58,32.7,0.0,89.1,0.0,0,0,0,0,0,1,1.7,296,5.4,-1.68
Mike White,46453,QB,W KENTUCKY,13,-4.35,0,613,346,74.2,493,512,10.3,2.59,6,28,5.2,63.9,327,193,10.7,564,92.0,39,0.08,188,,,,,47.7,80.6,82.7,,78.0,47.4,,71.0,,,,4,8,588,48.0,22.8,98.1,7.8,44,4,0,9,26,19,3.2,3973,7.8,77.6,447,465,8.8,2.47,5,22,4.6,66.5,309,163,11.0,508,82.9,38,0.1,162,,,,,56.4,83.2,81.8,,80.7,49.6,,69.3,,,,4,4,526,47.8,22.7,99.5,7.3,37,3,0,9,21,13,2.5,3412,7.3,67.7,93,95,11.2,2.68,1,6,5.8,62.1,59,33,6.3,105,17.1,4,-0.12,34,,,,,36.0,62.8,78.9,,61.8,55.1,,64.6,,,,0,4,113,47.6,24.2,87.4,7.6,8,1,0,1,5,6,5.3,766,8.1,0,93.6,47,48,-2.1,1.58,0,0,0.0,85.4,41,3,6.8,49,8.0,3,-0.17,8,,,,,69.7,68.0,75.7,,67.4,,,,,,,0,0,51,44.9,33.3,84.5,2.0,1,0,0,1,0,0,0.0,205,4.3,0.72
Luke Falk,46586,QB,WASH STATE,12,26.21,0,601,341,70.5,420,439,9.0,2.94,3,18,3.9,60.8,267,153,9.8,504,83.9,29,-0.05,145,,,,,61.2,65.6,79.5,,67.6,,,42.7,,,,6,12,522,43.3,25.5,88.1,7.7,39,26,0,10,24,27,5.2,3002,6.8,72.9,457,475,7.8,2.81,2,16,3.2,63.8,303,148,9.0,536,89.2,30,-0.04,160,,,,,62.3,65.3,80.0,,67.2,,,41.2,,,,6,13,554,43.7,25.0,90.7,6.9,37,24,0,10,27,28,5.1,3182,6.7,93.2,59,60,0.9,1.81,1,2,3.3,90.0,54,8,1.8,65,10.8,1,-0.06,19,,,,,70.5,75.5,76.7,,74.7,,,62.0,,,,0,0,66,49.2,37.5,111.4,4.6,3,2,0,0,3,0,0.0,404,6.7,0,95.8,96,96,-1.7,1.49,0,0,0.0,93.8,90,3,2.2,97,16.1,2,0.02,34,,,,,71.8,71.3,78.2,,70.6,,,,,,,0,1,98,49.5,33.3,108.5,1.0,1,0,0,0,6,1,1.0,584,6.1,0.03
Kurt Benkert,46540,QB,VIRGINIA,13,4.78,0,572,335,67.9,430,458,10.3,2.67,8,24,5.0,55.2,253,143,13.4,514,89.9,39,-0.13,139,,,,,25.1,56.0,81.3,,58.1,,,43.0,,,,1,9,539,39.3,22.4,83.9,6.2,32,20,1,18,23,30,5.6,2997,6.5,70.9,422,447,8.7,2.56,7,21,4.5,57.7,258,132,13.7,503,87.9,41,-0.18,128,,,,,26.2,54.5,81.1,,56.8,,,41.9,,,,1,8,524,37.6,23.5,83.3,6.2,31,18,1,16,20,28,5.3,2757,6.2,71.7,60,64,9.6,2.47,1,3,4.3,62.5,40,12,7.0,69,12.1,3,0.19,22,,,,,46.7,68.7,77.2,,67.9,,,61.6,,,,0,1,75,49.3,8.3,97.3,1.4,1,2,0,3,4,2,2.7,443,6.9,0,96.2,52,53,-3.7,1.48,0,0,0.0,84.9,45,1,10.0,58,10.1,5,-0.2,11,,,,,70.2,64.1,76.3,,63.6,,,,,,,0,0,60,36.2,0.0,88.9,0.0,0,0,0,1,1,0,0.0,203,3.8,0.75
Mason Fine,46629,QB,N TEXAS,14,-3.57,0,570,251,71.4,441,474,11.3,2.85,6,32,6.4,61.4,291,207,7.6,530,93.0,24,0.15,185,,,,,40.8,77.6,83.5,,78.3,,,55.9,,,,6,14,559,47.7,18.4,96.7,7.2,38,18,2,19,31,25,4.5,3861,8.1,73.5,411,442,10.0,2.75,6,26,5.6,63.6,281,181,7.0,491,86.1,21,0.13,166,,,,,43.9,78.4,82.9,,78.9,,,57.3,,,,5,12,514,47.9,18.2,93.2,6.7,33,15,2,18,24,19,3.7,3325,7.5,70.8,65,70,11.9,2.94,0,6,7.8,60.0,42,34,8.7,79,13.9,4,0.1,26,,,,,49.1,66.2,77.8,,67.8,,,50.5,,,,1,3,86,46.8,17.6,109.9,7.6,6,3,0,4,7,6,7.0,711,10.2,0,94.3,35,38,-3.9,1.85,0,0,0.0,84.2,32,8,3.0,40,7.0,1,-0.29,7,,,,,69.1,68.6,74.9,,68.1,,,,,,,0,1,41,47.5,12.5,74.9,2.5,1,0,0,3,0,0,0.0,175,4.6,2.64
Justice Hansen,46349,QB,ARK STATE,12,5.68,0,549,113,66.7,405,418,11.7,2.61,4,17,3.8,59.1,247,156,8.5,481,87.6,23,0.09,183,,,,66.7,41.3,75.9,81.8,,70.8,82.3,,72.2,,,,1,15,510,46.4,21.2,97.8,6.9,33,27,1,7,33,24,4.7,3527,8.4,68.5,257,266,9.7,2.44,1,8,2.8,59.8,159,94,9.7,300,54.6,17,0.07,111,,,,70.7,48.8,75.0,78.6,,67.8,77.9,,74.4,,,,2,9,315,44.3,19.1,92.5,6.0,18,14,1,5,18,13,4.1,2050,7.7,72.9,214,220,10.0,2.46,3,9,3.8,65.5,144,70,7.7,249,45.4,12,0.14,92,,,,,45.5,72.2,82.8,,72.2,60.0,,56.6,,,,0,7,263,51.4,21.4,108.3,6.0,15,13,0,3,19,12,4.6,1908,8.7,0,93.9,66,68,-1.3,1.34,0,0,0.0,82.4,56,8,9.7,68,12.4,6,0.21,20,,,,66.7,70.7,68.6,76.8,,68.4,57.4,,,,,,1,1,68,55.9,0.0,106.6,0.0,0,0,0,1,4,1,1.5,431,6.3,0.96
Sam Darnold,29048,QB,USC,14,4.25,0,541,326,67.2,406,430,12.5,2.71,2,35,7.8,60.0,258,166,5.5,486,89.8,15,0.2,192,,,,,29.5,83.7,83.4,,82.4,60.0,,61.8,,,,2,13,503,49.8,16.9,96.4,5.8,28,26,2,18,26,30,6.0,3795,8.8,67.8,339,357,10.4,2.6,0,24,6.5,61.6,220,136,4.3,404,74.7,10,0.12,151,,,,,29.2,75.2,82.2,,74.3,60.0,,59.5,,,,2,11,415,47.5,16.2,91.1,5.4,22,23,2,14,18,25,6.0,2883,8.1,77.6,116,126,12.1,2.55,4,11,8.3,65.9,83,33,7.8,137,25.3,7,0.34,55,,,,,57.8,91.0,79.9,,90.4,,,67.0,,,,0,2,144,56.9,18.2,112.9,4.4,6,4,0,6,8,5,3.5,1252,9.9,0,95.9,49,53,-2.4,1.47,2,0,0.0,84.9,45,3,4.3,55,10.2,2,-0.02,14,,,,,70.0,66.2,76.0,,67.0,,,57.3,,,,0,0,56,50.9,0.0,93.4,0.0,0,1,0,2,0,0,0.0,340,6.4,1.86
Nic Shimonek,46594,QB,TEXAS TECH,13,1.51,0,537,315,73.0,371,407,10.2,2.79,4,28,6.5,60.7,247,150,8.9,451,84.0,24,0.12,152,,,,,55.5,82.0,89.4,,82.1,50.2,,53.2,,,,1,9,477,45.7,18.0,99.8,6.0,27,15,0,31,27,18,3.8,3348,8.2,76.8,302,323,7.4,2.57,3,22,6.5,65.9,213,112,8.2,360,67.0,19,0.03,109,,,,,50.4,78.0,88.7,,79.0,50.2,,51.2,,,,1,7,378,43.9,21.4,99.2,6.7,24,12,0,17,20,14,3.7,2368,7.3,78.3,152,169,8.4,2.61,1,6,3.4,67.5,114,48,4.2,177,33.0,5,0.29,73,,,,,74.3,79.6,81.1,,77.9,,,65.6,,,,0,3,188,54.2,8.3,115.7,2.3,4,3,0,16,13,5,2.7,1588,9.4,0,96.4,83,85,-3.3,1.46,0,0,0.0,94.1,80,10,0.0,86,16.0,0,0.11,30,,,,,71.5,66.9,77.8,,66.3,,,,,,,0,1,89,55.8,10.0,115.1,1.2,1,0,0,2,6,1,1.1,608,7.2,2.07
Mason Rudolph,46569,QB,OKLA STATE,13,7.75,0,529,262,69.8,398,414,14.7,2.77,3,29,6.5,61.1,253,118,9.0,450,85.1,25,0.42,198,,,,,51.0,89.1,66.6,,87.9,54.3,,64.3,,,,1,8,483,52.4,19.5,118.6,5.1,23,13,0,12,35,19,3.9,4520,10.9,70.9,265,277,12.2,2.58,2,18,6.0,61.7,171,73,9.0,303,57.3,17,0.21,112,,,,,41.2,75.7,61.6,,74.7,54.3,,64.0,,,,1,8,327,45.9,21.9,97.0,5.3,16,9,0,9,16,14,4.3,2408,8.7,77.3,207,213,12.0,2.56,1,11,4.9,69.5,148,50,7.5,226,42.7,12,0.54,108,,,,,75.3,91.7,82.2,,91.1,,,62.2,,,,0,1,236,58.0,16.0,139.8,3.5,8,4,0,5,21,6,2.5,2500,11.7,0,94.6,74,76,-1.7,1.44,0,0,0.0,86.8,66,5,5.7,79,14.9,4,-0.01,22,,,,,71.2,67.5,77.4,,66.9,,,,,,,0,1,80,43.0,20.0,91.2,1.3,1,0,0,2,2,1,1.3,388,5.1,3.05
Lamar Jackson,46416,QB,LOUISVILLE,13,-1.67,0,514,210,70.4,382,409,12.2,3.11,9,18,4.2,57.5,235,183,12.6,492,95.7,34,0.22,184,,,,,37.0,86.7,66.2,,75.2,47.2,,86.1,,,,4,10,514,49.2,18.0,97.5,6.7,33,50,0,14,27,20,3.9,3503,8.6,72.2,349,371,11.1,2.97,7,13,3.4,59.3,220,153,12.7,442,86.0,32,0.2,164,,,,,44.3,89.1,64.6,,77.2,47.2,,86.8,,,,3,9,462,49.3,17.6,93.9,6.1,27,44,0,12,21,15,3.2,2999,8.1,68.5,54,59,13.4,3.53,2,5,8.2,57.6,34,31,8.1,72,14.0,3,0.33,25,,,,,27.6,62.5,77.1,,60.2,,,65.8,,,,1,1,74,48.6,19.4,122.7,8.3,6,7,0,2,6,5,6.8,648,11.0,0,95.2,21,21,-2.7,1.8,0,0,0.0,90.5,19,1,5.0,22,4.3,1,0.23,5,,,,,67.4,75.0,72.7,,67.2,,,69.3,,,,0,0,22,50.0,0.0,95.2,0.0,0,1,0,0,0,0,0.0,144,6.9,2.9
