player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_epa,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_positive_epa_percent,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_epa,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_positive_epa_percent,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_epa,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_positive_epa_percent,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_epa,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_positive_epa_percent,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Tyler Rogers,46638,QB,NEW MEX ST,12,616,62.0,179,189,9.3,2.45,3,8,4.1,52.9,100,88,9.9,199,32.3,11,-0.07,57,,,,,74.7,74.6,81.5,,73.7,60.0,,59.0,,,0,3,204,34.2,8.0,81.9,3.5,7,3,0,7,9,10,4.9,1200,6.3,2,242,67.6,73.7,73.4,58.7,75.1,365,379,8.7,2.73,3,17,4.3,64.9,246,128,10.2,417,67.7,28,0.07,125,,,,,64.0,71.1,70.9,,70.6,54.3,,60.4,,,1,15,433,42.4,16.4,86.7,5.0,21,16,2,8,18,24,5.5,2837,7.5,73.4,384,390,8.4,2.24,3,17,4.2,65.4,255,0,9.6,400,64.9,27,0.11,127,,,,,78.0,77.2,70.0,,76.0,54.3,,63.3,,,0,15,411,44.0,,86.4,0.0,0,9,2,1,17,21,5.1,2932,7.5,4,64.4,160,178,10.0,3.37,3,8,4.3,51.1,91,216,11.7,216,35.1,12,-0.15,55,,,,,52.5,64.4,82.0,,64.5,60.0,,57.2,,,1,3,226,31.9,13.0,82.3,13.0,28,10,0,14,10,13,5.8,1105,6.2
Mike White,46453,QB,W KENTUCKY,13,613,73.7,167,173,9.5,2.28,3,11,6.1,61.8,107,87,13.0,193,31.5,16,0.06,66,,,,,37.8,68.4,81.5,,67.3,53.8,,64.2,,,1,5,201,46.6,20.7,89.9,9.3,18,1,0,2,8,10,5.0,1365,7.9,0,346,49.9,80.6,78.0,71.0,76.9,373,387,9.1,2.61,3,17,4.2,67.4,261,109,9.1,420,68.5,26,0.07,130,,,,,64.2,81.8,85.5,,80.3,50.9,,58.6,,,3,3,438,48.3,24.8,100.8,6.4,27,3,0,8,18,9,2.1,2813,7.3,80.9,403,411,8.3,2.27,6,19,4.5,72.5,298,0,8.6,417,68.0,28,0.36,155,,,,,71.1,91.7,85.4,,91.0,54.3,,57.0,,,0,2,431,56.8,,109.7,0.2,1,1,0,2,20,7,1.6,3260,7.9,2,61.3,137,149,11.9,3.01,0,9,5.6,47.0,70,196,16.7,196,32.0,14,-0.56,41,,,,,29.0,42.1,81.7,,41.6,52.2,,66.8,,,4,6,208,28.6,22.4,63.5,22.4,44,3,0,8,6,12,5.8,918,6.2
Luke Falk,46586,QB,WASH STATE,12,601,73.2,157,165,8.5,2.45,3,6,3.6,62.4,103,59,10.4,186,30.9,12,0.03,60,,,,,74.3,77.9,81.2,,79.7,,,42.6,,,3,3,189,44.1,25.4,101.8,8.1,15,6,0,2,12,6,3.2,1230,7.5,0,341,64.3,67.3,68.9,42.7,76.0,359,370,6.3,2.82,0,12,3.1,68.6,254,97,7.0,415,69.1,19,-0.07,119,,,,,57.0,59.5,85.4,,61.2,,,46.8,,,3,10,431,44.3,25.8,90.8,6.0,25,20,0,8,18,22,5.1,2356,6.4,76.8,426,428,6.7,2.4,2,12,2.7,70.8,303,0,7.3,445,74.0,24,0.11,151,,,,,71.8,73.2,85.8,,73.8,,,48.2,,,0,11,461,49.7,,98.1,0.0,0,17,0,0,24,18,3.9,2987,7.0,2,67.8,90,107,8.5,3.58,1,6,5.5,50.5,54,156,11.5,156,26.0,7,-0.48,28,,,,,45.0,48.6,80.4,,52.4,,,42.0,,,6,2,159,28.8,25.6,78.4,25.6,40,9,0,10,6,10,6.3,599,5.6
Kurt Benkert,46540,QB,VIRGINIA,13,572,68.8,157,164,10.4,2.56,2,11,6.2,54.3,89,48,17.6,186,32.5,19,-0.1,63,,,,,50.3,54.2,81.4,,55.5,,,49.8,,,0,4,200,37.6,27.1,91.0,7.0,13,7,0,5,12,11,5.5,1160,7.1,0,335,26.4,56.8,58.7,43.0,72.0,325,347,8.0,2.55,6,13,3.6,60.2,209,96,10.7,386,67.5,25,-0.15,87,,,,,28.2,59.7,69.4,,61.0,,,49.1,,,1,5,399,39.6,19.8,82.3,4.9,19,13,1,14,12,19,4.8,2040,5.9,73.9,398,413,8.2,2.2,8,19,4.4,62.5,258,0,12.2,428,74.8,36,0.06,123,,,,,71.7,72.7,85.6,,71.8,,,57.2,,,0,6,447,43.7,,93.3,0.0,0,6,1,6,22,12,2.7,2724,6.6,1,57.1,84,98,11.7,3.59,0,5,4.8,40.8,40,144,16.7,144,25.2,8,-0.7,27,,,,,14.1,27.9,47.2,,28.8,,,44.4,,,1,3,152,25.0,22.2,50.4,22.2,32,14,0,13,2,18,11.8,476,4.9
Mason Fine,46629,QB,N TEXAS,14,570,69.6,194,209,10.8,2.5,1,14,6.4,61.7,129,103,4.4,229,40.2,6,0.19,81,,,,,43.2,72.4,82.3,,72.9,,,50.8,,,4,7,240,48.5,11.7,96.4,5.2,12,8,1,9,14,14,5.8,1730,8.3,0,251,42.8,77.8,78.4,55.9,75.5,282,303,9.8,2.96,5,18,5.6,64.0,194,112,8.9,341,59.8,19,0.08,111,,,,,52.8,79.3,84.4,,78.3,,,58.2,,,2,8,360,47.2,24.1,94.9,7.9,27,10,1,13,17,11,3.1,2306,7.6,78.5,335,345,9.4,2.48,3,23,6.4,71.3,246,0,6.5,355,62.3,17,0.42,141,,,,,77.4,91.6,84.6,,91.2,,,55.9,,,0,7,370,58.6,,108.8,0.0,0,9,2,5,21,7,1.9,2937,8.5,1,60.3,141,167,12.3,3.26,3,9,4.9,46.1,77,215,9.4,215,37.7,8,-0.37,51,,,,,24.0,45.7,82.1,,46.4,,,53.6,,,6,8,230,29.8,18.1,67.9,18.1,39,9,0,17,10,18,7.8,1099,6.6
Justice Hansen,46349,QB,ARK STATE,12,549,70.7,133,139,9.8,2.26,2,2,1.3,61.9,86,66,8.5,159,29.0,8,0.0,61,,,,,46.1,67.0,80.7,,66.5,,,59.7,,,2,5,170,45.3,21.2,105.1,8.8,14,5,0,2,13,7,4.1,1176,8.5,1,113,44.6,76.1,71.3,72.2,70.4,338,347,9.9,2.52,2,15,4.1,62.5,217,98,8.8,390,71.0,21,0.14,142,,,,70.7,55.9,73.6,85.1,,71.7,76.0,,64.5,,,0,11,408,48.5,19.4,97.4,4.9,19,22,1,6,24,18,4.4,2782,8.0,75.8,364,369,9.0,2.15,3,12,3.1,68.8,254,0,8.0,385,70.1,22,0.38,163,,,,70.7,63.2,89.5,85.1,,87.9,80.0,,57.3,,,0,9,406,55.3,,114.6,0.3,1,12,1,1,31,12,3.0,3302,8.9,2,52.3,107,117,12.7,3.15,1,5,4.0,41.9,49,164,12.5,164,29.9,7,-0.55,40,,,,,32.6,34.9,80.8,,31.5,57.5,,68.0,,,2,7,172,29.3,19.5,52.5,19.5,32,15,0,7,6,13,7.6,656,5.6
Sam Darnold,29048,QB,USC,14,541,69.4,193,203,9.9,2.42,2,10,4.7,62.6,127,85,5.2,231,42.7,7,0.15,98,,,,,32.2,70.0,82.3,,65.5,60.0,,84.0,,,2,8,241,50.6,18.8,95.6,6.9,16,10,0,6,12,15,6.2,1854,9.1,0,326,32.2,83.3,82.1,61.1,71.0,262,280,11.6,2.71,2,25,8.7,62.9,176,84,5.4,310,57.3,10,0.19,108,,,,,59.5,90.5,83.7,,90.0,,,64.6,,,0,5,318,49.4,14.3,97.6,3.9,12,17,2,14,14,15,4.7,2281,8.1,73.3,348,355,9.8,2.21,3,22,6.0,67.9,241,0,5.5,372,68.8,14,0.36,149,,,,,77.6,90.4,84.7,,87.9,,,76.4,,,0,7,382,57.0,,104.3,0.0,0,14,2,2,19,16,4.2,3073,8.7,2,60.7,107,128,14.4,3.42,1,13,9.6,48.4,62,169,4.6,169,31.2,3,-0.23,57,,,,,21.2,65.7,80.9,,63.3,60.0,,68.8,,,2,6,177,34.3,16.6,75.7,16.6,28,13,0,18,7,14,7.9,1062,8.3
Nic Shimonek,46594,QB,TEXAS TECH,13,537,76.9,91,101,8.3,2.18,1,6,5.6,66.3,67,37,4.3,111,20.7,3,0.3,42,,,,,72.5,74.0,79.0,,74.0,,,56.0,,,0,1,118,52.3,16.2,118.5,5.4,6,3,0,9,10,3,2.5,782,7.7,0,315,58.9,81.4,81.3,53.2,77.4,363,391,7.6,2.69,3,22,5.4,66.5,260,123,7.5,426,79.3,21,0.07,140,,,,,57.8,80.9,85.6,,80.7,50.2,,51.8,,,1,9,448,46.0,17.9,101.3,5.2,22,12,0,24,23,16,3.6,3174,8.1,79.8,361,368,7.1,2.13,3,19,4.9,73.9,272,0,5.6,377,70.2,16,0.35,150,,,,,70.4,90.3,85.0,,89.3,50.2,,61.1,,,0,7,401,56.0,,117.6,0.0,0,7,0,4,28,12,3.0,3226,8.8,1,67.7,93,124,10.1,3.65,1,9,7.0,44.4,55,160,12.7,160,29.8,8,-0.43,32,,,,,46.0,52.7,80.5,,55.2,,,45.9,,,1,3,165,26.9,17.5,66.9,17.5,28,8,0,29,5,7,4.2,730,5.9
Mason Rudolph,46569,QB,OKLA STATE,13,529,70.9,127,131,11.4,2.38,2,6,4.2,64.1,84,34,6.7,137,25.9,6,0.54,71,,,,,73.4,81.4,80.0,,81.4,,,50.2,,,0,4,148,59.1,5.9,122.9,1.5,2,3,0,2,17,5,3.4,1273,9.7,0,262,54.5,88.3,86.9,64.3,74.8,345,359,12.4,2.64,1,23,6.0,65.5,235,89,8.9,392,74.1,23,0.29,149,,,,,49.5,86.5,85.2,,84.8,54.3,,61.4,,,1,5,415,48.2,24.7,111.6,5.6,22,10,0,12,20,15,3.6,3635,10.1,75.4,391,397,11.2,2.26,2,21,5.0,68.5,272,0,7.8,406,76.7,23,0.48,178,,,,,78.2,88.7,85.4,,87.3,54.3,,52.3,,,0,6,431,54.7,,119.9,0.0,0,7,0,4,30,13,3.0,3985,10.0,3,65.4,81,93,16.5,3.6,1,8,7.8,50.5,47,123,11.3,123,23.3,6,-0.06,42,,,,,24.1,75.7,79.5,,74.6,,,62.8,,,1,3,132,39.0,19.5,97.2,19.5,24,6,0,10,7,7,5.3,923,9.9
Lamar Jackson,46416,QB,LOUISVILLE,13,514,69.8,149,164,10.8,3.02,6,5,2.9,56.7,93,91,10.6,202,39.3,11,0.12,68,,,,,39.8,71.4,81.7,,62.4,54.3,,91.7,,,2,3,212,45.0,22.0,101.2,9.9,20,18,0,7,13,9,4.2,1301,7.9,0,210,38.0,87.1,75.3,86.8,72.8,254,266,11.8,3.07,3,13,4.7,60.5,161,93,13.0,312,60.7,24,0.29,121,,,,,62.3,84.9,66.8,,81.0,51.6,,76.0,,,2,7,324,51.9,14.0,95.8,4.2,13,33,0,7,14,11,3.4,2346,8.8,75.0,300,310,10.4,2.57,7,9,2.8,64.8,201,0,10.7,330,64.2,24,0.41,136,,,,,68.8,84.4,67.7,,81.3,47.8,,75.7,,,0,9,341,56.1,,101.0,0.0,0,20,0,3,19,13,3.8,2720,8.8,3,62.1,103,120,14.6,3.91,2,9,7.0,44.2,53,184,17.2,184,35.8,11,-0.13,53,,,,,29.6,71.2,81.3,,58.9,60.0,,88.0,,,4,1,195,37.0,17.9,89.8,17.9,33,31,0,11,8,7,3.6,927,7.7
