player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_snap,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_snap,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kyle Trask,39987,QB,FLORIDA,12,2.69,2.59,3.72,4.67,470,163,83.6,201,203,5.7,1.9,1,12,5.6,75.4,153,23,8.9,204,43.4,15,0.33,89,,,,,74.9,89.0,81.7,,87.1,,,,,,,0,3,214,59.3,4.3,130.0,0.5,1,0,0,1,23,3,1.4,1631,8.0,70.3,222,235,14.1,3.3,0,29,11.6,63.0,148,101,5.1,266,56.6,8,0.32,114,,,,,47.3,92.2,83.1,,92.5,,,39.3,,,,5,5,282,49.2,19.8,121.0,7.5,20,11,0,8,20,10,3.5,2647,11.3
Brady White,25506,QB,MEMPHIS,11,2.56,2.4,3.21,4.61,467,218,73.4,278,282,8.2,1.87,3,14,4.7,66.0,186,11,8.8,284,60.8,18,0.23,100,,,,,67.1,76.3,83.4,,74.9,,,,,,,0,3,299,48.2,18.2,114.5,0.7,2,0,0,1,24,7,2.3,2267,8.0,57.3,131,139,15.1,3.64,1,10,6.5,48.9,68,75,9.3,183,39.2,7,-0.01,66,,,,,50.1,66.6,56.5,,65.1,,,65.3,,,,0,7,201,41.5,22.7,72.0,9.3,17,27,0,7,7,12,6.0,1113,8.0
Dillon Gabriel,86272,QB,UCF,10,2.77,2.63,3.86,5.06,451,323,78.8,198,205,6.9,1.8,5,7,3.2,67.8,139,28,10.9,207,45.9,17,0.24,75,,,,,63.7,80.0,81.9,,78.5,,,,,,,1,1,219,50.7,7.1,114.8,1.0,2,0,0,1,17,4,1.8,1505,7.3,69.3,189,208,16.6,3.61,1,19,8.4,52.4,109,89,16.8,244,54.1,22,0.32,84,,,,,75.7,91.7,82.8,,91.2,,,66.0,,,,1,3,264,43.4,21.3,105.1,7.8,19,17,0,17,15,7,2.7,2064,9.9
Ian Book,40216,QB,NOTRE DAME,12,3.24,2.85,4.69,5.2,436,258,79.9,159,164,6.1,1.9,1,5,2.9,72.6,119,27,6.3,167,38.3,8,0.33,66,,,,,74.0,75.3,80.8,,74.2,,,,,,,0,0,177,55.7,11.1,109.2,1.8,3,0,0,4,7,4,2.3,1277,7.8,71.4,168,191,10.8,4.09,1,7,3.5,57.1,109,121,9.2,268,61.5,11,0.17,92,,,,,66.7,76.4,83.1,,73.2,,,69.5,,,,2,3,281,44.8,19.8,90.9,9.0,24,53,0,20,8,7,2.5,1550,8.1
Mac Jones,60323,QB,ALABAMA,13,2.51,2.47,3.22,4.48,427,103,91.8,195,203,3.5,1.71,5,9,4.2,86.2,175,17,2.2,205,48.0,4,0.55,103,,,,,63.3,93.5,81.8,,92.8,,,,,,,1,1,216,65.9,11.8,139.4,1.0,2,0,0,2,22,1,0.5,1885,9.3,76.3,190,202,14.1,3.3,1,23,10.6,67.3,136,64,6.2,219,51.3,9,0.63,112,,,,,64.2,94.7,82.2,,94.0,,,69.5,,,,0,3,233,58.4,12.5,135.4,3.7,8,9,0,11,19,10,4.3,2609,12.9
Sam Howell,97599,QB,N CAROLINA,12,2.79,2.54,3.93,4.53,419,245,85.6,188,193,5.7,1.81,4,7,3.5,78.8,152,25,5.6,197,47.0,9,0.44,91,,,,,74.7,90.5,81.6,,89.8,,,,,,,0,1,206,57.4,16.0,124.2,2.0,4,0,0,1,13,2,1.0,1726,8.9,66.0,141,154,18.0,3.74,1,26,15.1,54.5,84,119,9.7,218,52.0,9,0.18,74,,,,,42.6,91.0,82.2,,90.7,,,67.8,,,,1,6,237,41.3,24.4,117.6,13.3,29,35,0,11,17,8,3.4,1829,11.9
Shane Buechele,12659,QB,SMU,10,2.51,2.34,3.78,4.82,414,287,81.7,240,241,5.7,1.73,1,8,3.1,70.5,170,23,13.3,243,58.7,26,0.27,87,,,,,75.7,86.6,82.6,,84.7,,,,,,,0,4,256,49.0,8.7,108.4,0.8,2,0,0,0,16,5,2.0,1872,7.8,63.9,119,129,13.5,3.69,0,11,7.8,55.0,71,76,6.6,167,40.3,5,0.07,56,,,,,60.9,78.6,80.9,,77.0,,,66.1,,,,3,2,180,41.9,22.4,99.0,10.2,17,21,0,7,7,7,3.9,1221,9.5
Chase Brice,60363,QB,DUKE,11,2.41,2.26,3.24,4.3,411,154,76.4,203,210,4.8,1.79,2,2,0.9,64.8,136,43,12.3,219,53.3,19,0.01,69,,,,,48.8,61.4,82.2,,60.8,,,,,,,3,5,235,47.5,20.9,83.4,4.1,9,0,0,2,7,8,3.4,1318,6.3,48.8,123,141,15.2,3.21,0,8,5.4,39.0,55,93,8.3,186,45.3,5,-0.46,44,,,,,49.1,36.4,81.3,,36.4,,,55.4,,,,7,10,193,30.6,25.8,37.3,12.9,24,21,0,11,3,14,7.3,851,6.0
Brock Purdy,77672,QB,IOWA STATE,12,2.85,2.6,4.34,5.15,410,193,88.3,188,193,4.7,1.84,4,4,2.0,81.3,157,25,5.4,193,47.1,9,0.38,84,,,,,74.6,88.1,81.4,,86.3,,,,,,,1,2,200,58.5,0.0,115.9,0.0,0,0,0,0,11,1,0.5,1601,8.3,57.9,159,172,13.9,3.75,1,9,4.8,49.4,85,116,7.6,217,52.9,7,-0.06,69,,,,,40.2,64.2,82.2,,60.0,,,70.9,,,,0,7,236,41.9,12.1,69.7,6.5,14,31,0,12,8,16,6.8,1150,6.7
Bo Nix,97790,QB,AUBURN,11,2.88,2.61,3.94,5.44,410,115,76.6,201,204,4.8,1.77,2,5,2.3,68.6,140,13,9.1,205,50.0,14,0.17,63,,,,,74.9,73.5,81.8,,72.4,,,,,,,1,3,218,46.8,7.7,90.6,0.5,1,0,0,0,7,2,0.9,1274,6.2,56.8,139,155,14.2,4.03,1,13,8.0,47.7,74,104,6.3,203,49.5,5,-0.04,60,,,,,63.4,66.7,81.8,,61.5,,,72.5,,,,1,4,213,39.4,15.4,72.5,7.9,16,32,0,14,5,9,4.2,1138,7.3
