metric,column,group,direction,n,n_hit,n_nonhit,median_hit,median_nonhit,mean_hit,mean_nonhit,auc,abs_auc,cliffs_delta,point_biserial_r,mannwhitney_p,evidence_strength,coverage_note
Draft capital (-log pick),neg_log_pick,capital,higher = more hits,88,17,71,-1.792,-4.89,-1.947,-4.393,0.845,0.845,0.689,0.563,0.0,strong,
Total PPA production (career),career_total_ppa_all,ppa,higher = more hits,86,17,69,549.467,314.458,503.082,326.022,0.791,0.791,0.582,0.395,0.0002,strong,
PPA per play (career),career_average_ppa_all,ppa,higher = more hits,86,17,69,0.39,0.315,0.408,0.308,0.75,0.75,0.5,0.351,0.0015,strong,
Total PPA production (final yr),final_total_ppa_all,ppa,higher = more hits,86,17,69,220.427,165.804,225.358,157.296,0.725,0.725,0.449,0.335,0.0043,strong,
Positive-EPA play % (final yr),final_grades_positive_epa_percent,pff,higher = more hits,79,16,63,50.5,47.8,51.319,47.622,0.711,0.711,0.422,0.296,0.0097,strong,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PPA on passing downs (final yr),final_average_ppa_passing_downs,ppa,higher = more hits,86,17,69,0.62,0.473,0.631,0.483,0.709,0.709,0.419,0.293,0.0079,strong,
PPA per pass (career),career_average_ppa_pass,ppa,higher = more hits,86,17,69,0.392,0.315,0.415,0.304,0.707,0.707,0.413,0.258,0.0087,strong,
PFF passing grade (career),career_grades_grades_pass,pff,higher = more hits,79,16,63,83.262,76.711,82.681,76.986,0.704,0.704,0.409,0.285,0.0122,strong,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
Total pass PPA (final yr),final_total_ppa_pass,ppa,higher = more hits,86,17,69,183.267,135.917,190.467,137.21,0.704,0.704,0.408,0.286,0.0096,strong,
PFF passing grade clean pocket (final yr),final_pressure_no_pressure_grades_pass,pff,higher = more hits,72,15,57,91.7,87.3,89.693,85.46,0.69,0.69,0.38,0.26,0.0246,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
Completion % (final yr),final_grades_completion_percent,pff,higher = more hits,79,16,63,66.5,63.7,66.488,63.554,0.681,0.681,0.361,0.25,0.0268,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PPA on 3rd down (final yr),final_average_ppa_third_down,ppa,higher = more hits,86,17,69,0.704,0.599,0.73,0.599,0.679,0.679,0.358,0.243,0.0231,moderate,
PPA per play (final yr),final_average_ppa_all,ppa,higher = more hits,86,17,69,0.416,0.36,0.445,0.345,0.677,0.677,0.354,0.286,0.0248,moderate,
PPA per pass (final yr),final_average_ppa_pass,ppa,higher = more hits,86,17,69,0.422,0.337,0.449,0.34,0.677,0.677,0.354,0.273,0.0248,moderate,
Broad jump,combine_broad,combine,higher = more hits,56,11,45,118.0,113.0,116.182,112.756,0.676,0.676,0.352,0.229,0.0737,moderate,
PFF rushing grade (final yr),final_pressure_grades_run,pff,higher = more hits,72,15,57,67.4,61.0,68.533,61.404,0.673,0.673,0.346,0.259,0.0408,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PFF offense grade (final yr),final_grades_grades_offense,pff,higher = more hits,79,16,63,88.5,82.5,86.088,81.067,0.672,0.672,0.344,0.224,0.0348,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
"Big-time-throw rate, no screens (final yr)",final_concept_no_screen_btt_rate,pff,higher = more hits,79,16,63,7.05,5.9,6.856,5.995,0.671,0.671,0.341,0.217,0.0363,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PFF passing grade (final yr),final_grades_grades_pass,pff,higher = more hits,79,16,63,87.1,81.4,84.894,79.938,0.667,0.667,0.333,0.228,0.041,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PFF passing grade under pressure (final yr),final_pressure_pressure_grades_pass,pff,higher = more hits,72,15,57,63.3,56.2,63.4,56.032,0.656,0.656,0.312,0.241,0.0651,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
Passer rating (final yr),final_grades_qb_rating,pff,higher = more hits,79,16,63,108.55,101.7,112.825,102.232,0.654,0.654,0.308,0.282,0.0595,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
"PFF passing grade, no screens (final yr)",final_concept_no_screen_grades_pass,pff,higher = more hits,79,16,63,87.05,81.7,85.106,80.221,0.652,0.652,0.304,0.215,0.0628,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PFF accuracy % (career),career_grades_accuracy_percent,pff,higher = more hits,79,16,63,74.882,72.194,74.264,72.679,0.651,0.651,0.302,0.184,0.0646,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
Yards per attempt (final yr),final_grades_ypa,pff,higher = more hits,79,16,63,8.55,8.1,9.106,8.171,0.649,0.649,0.298,0.308,0.068,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
PFF accuracy % (final yr),final_grades_accuracy_percent,pff,higher = more hits,79,16,63,75.8,74.0,75.544,73.735,0.643,0.643,0.287,0.182,0.0789,moderate,PFF QB charting imported for 2014-2025; some seasons have missing/empty family exports
3-cone drill,combine_three_cone,combine,lower = more hits,52,11,41,7.0,7.09,7.028,7.116,0.357,0.643,-0.286,-0.202,0.1512,moderate,
