join_name,draft_season,pick,round,w_av,dr_av,games,seasons_started,probowls,allpro,proxy_hit,proxy_hit_flat,proxy_hit_era_scaled,label_maturity
marc wilson,1980,15,1,36.0,33.0,126.0,5,0,0,1,1,1,mature
mark malone,1980,28,1,27.0,25.0,73.0,5,0,0,0,0,0,mature
gene bradley,1980,37,2,,,,0,0,0,0,0,0,mature
eric hipple,1980,85,4,38.0,38.0,102.0,4,0,0,1,1,1,mature
rusty lisch,1980,89,4,2.0,0.0,30.0,0,0,0,0,0,0,mature
ed luther,1980,101,4,7.0,7.0,61.0,0,0,0,0,0,0,mature
paul mcdonald,1980,109,4,16.0,16.0,85.0,1,0,0,0,0,0,mature
gary hogeboom,1980,133,5,22.0,7.0,79.0,2,0,0,0,0,0,mature
scott brunner,1980,145,6,17.0,16.0,73.0,2,0,0,0,0,0,mature
craig bradshaw,1980,182,7,0.0,0.0,2.0,0,0,0,0,0,0,mature
todd krueger,1980,202,8,,,,0,0,0,0,0,0,mature
david woodley,1980,214,8,34.0,26.0,58.0,3,0,0,1,1,1,mature
dan hartwig,1980,237,9,,,,0,0,0,0,0,0,mature
turk schonert,1980,242,9,12.0,,72.0,0,0,0,0,0,0,mature
mike wright,1980,308,12,,,,0,0,0,0,0,0,mature
jimmy jordan,1980,320,12,,,,0,0,0,0,0,0,mature
kevin scanlon,1980,332,12,,,,0,0,0,0,0,0,mature
rich campbell,1981,6,1,2.0,2.0,7.0,0,0,0,0,0,0,mature
neil lomax,1981,33,2,70.0,70.0,108.0,7,2,0,1,1,1,mature
tom flick,1981,90,4,1.0,0.0,21.0,0,0,0,0,0,0,mature
brad wright,1981,96,4,,,,0,0,0,0,0,0,mature
mark herrmann,1981,98,4,11.0,2.0,40.0,0,0,0,0,0,0,mature
mark reed,1981,207,8,0.0,,1.0,0,0,0,0,0,0,mature
wade wilson,1981,210,8,49.0,33.0,125.0,4,1,0,1,1,1,mature
mike ford,1981,228,9,,,,0,0,0,0,0,0,mature
nickie hall,1981,255,10,,,,0,0,0,0,0,0,mature
phil kessel,1981,257,10,,,,0,0,0,0,0,0,mature
tim clifford,1981,260,10,,,,0,0,0,0,0,0,mature
rick trocano,1981,292,11,0.0,,8.0,0,0,0,0,0,0,mature
brian buckley,1981,295,11,,,,0,0,0,0,0,0,mature
mark oconnell,1981,312,12,,,,0,0,0,0,0,0,mature
bob gagliano,1981,319,12,13.0,0.0,32.0,0,0,0,0,0,0,mature
joe adams,1981,322,12,,,,0,0,0,0,0,0,mature
art schlichter,1982,4,1,4.0,4.0,13.0,0,0,0,0,0,0,mature
jim mcmahon,1982,5,1,57.0,42.0,119.0,9,1,0,1,1,1,mature
oliver luck,1982,44,2,6.0,6.0,20.0,0,0,0,0,0,0,mature
matt kofler,1982,48,2,4.0,3.0,41.0,0,0,0,0,0,0,mature
mike pagel,1982,84,4,29.0,26.0,132.0,4,0,0,0,0,0,mature
mike kelley,1982,149,6,1.0,,3.0,0,0,0,0,0,0,mature
mike machurek,1982,154,6,1.0,1.0,4.0,0,0,0,0,0,0,mature
luc tousignant,1982,218,8,,,,0,0,0,0,0,0,mature
bob lane,1982,242,9,,,,0,0,0,0,0,0,mature
bryan clark,1982,251,9,0.0,,1.0,0,0,0,0,0,0,mature
ron reeves,1982,261,10,,,,0,0,0,0,0,0,mature
