canonical_name,join_name,draft_season,colleges,pff_player_id,final_grades_grades_pass,final_grades_grades_offense,final_grades_accuracy_percent,final_grades_btt_rate,final_grades_twp_rate,final_grades_ypa,final_grades_avg_depth_of_target,final_grades_avg_time_to_throw,final_grades_completion_percent,final_grades_sack_percent,final_grades_pressure_to_sack_rate,final_grades_positive_epa_percent,final_grades_epa,final_grades_dropbacks,final_grades_qb_rating,career_grades_grades_pass,career_grades_grades_offense,career_grades_accuracy_percent,career_grades_btt_rate,career_grades_twp_rate,career_grades_ypa,career_grades_avg_depth_of_target,career_grades_avg_time_to_throw,career_grades_completion_percent,career_grades_sack_percent,career_grades_pressure_to_sack_rate,career_grades_positive_epa_percent,career_grades_epa,career_grades_dropbacks,career_grades_qb_rating,final_pressure_pressure_accuracy_percent,final_pressure_pressure_grades_pass,final_pressure_pressure_twp_rate,final_pressure_pressure_sack_percent,final_pressure_no_pressure_accuracy_percent,final_pressure_no_pressure_grades_pass,final_pressure_blitz_accuracy_percent,final_pressure_blitz_grades_pass,final_depth_deep_attempts_percent,final_depth_deep_accuracy_percent,final_depth_deep_btt_rate,final_depth_deep_ypa,final_depth_medium_accuracy_percent,final_depth_short_accuracy_percent,final_average_ppa_pass,career_average_ppa_pass,combine_height,combine_weight,combine_forty,combine_vertical,combine_broad,combine_three_cone,combine_short_shuttle,combine_ras_score,combine_bmi,cfbd_ppa_pass_delta,college_seasons_count,college_career_dropbacks_total,college_seasons_150plus_dropbacks,traj_delta_grades_grades_pass,traj_delta_grades_ypa,traj_delta_grades_twp_rate,traj_delta_grades_accuracy_percent,pick,round,log_pick,day
Jameis Winston,jameis winston,2015,Florida State,9434.0,80.9,83.0,72.7,4.2,3.4,8.3,8.8,2.74,65.3,3.5,12.2,54.1,0.22,508.0,93.1,80.9,83.0,72.7,4.2,3.4,8.3,8.8,2.74,65.3,3.5,12.2,54.1,0.22,508.0,93.1,65.0,57.1,4.5,12.2,74.9,88.4,70.3,82.9,,,,,,,0.432,0.432,,,,,,,,,,0.0,1,508.0,1.0,,,,,1.0,1.0,0.0,1.0
Marcus Mariota,marcus mariota,2015,Oregon,9435.0,91.7,93.0,76.7,5.5,2.6,10.0,9.8,2.83,68.2,6.2,23.9,53.0,0.39,513.0,128.5,91.7,93.0,76.7,5.5,2.6,10.0,9.8,2.83,68.2,6.2,23.9,53.0,0.39,513.0,128.5,66.2,76.0,4.1,23.9,78.8,92.2,77.2,82.6,,,,,,,0.527,0.527,,,,,,,,,,0.0,1,513.0,1.0,,,,,2.0,1.0,0.6931471805599453,1.0
Todd Gurley II,todd gurley ii,2015,Georgia,9443.0,76.6,84.1,100.0,0.0,0.0,50.0,29.0,2.5,100.0,0.0,0.0,100.0,3.72,1.0,118.8,76.6,84.1,100.0,0.0,0.0,50.0,29.0,2.5,100.0,0.0,0.0,100.0,3.72,1.0,118.8,100.0,76.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Ameer Abdullah,ameer abdullah,2015,Nebraska,9487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.0,100.0,,,,60.0,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Garrett Grayson,garrett grayson,2015,Colorado State,9508.0,82.1,80.2,75.4,5.9,3.6,9.5,10.1,2.71,64.5,5.9,20.0,47.2,0.25,476.0,113.6,82.1,80.2,75.4,5.9,3.6,9.5,10.1,2.71,64.5,5.9,20.0,47.2,0.25,476.0,113.6,59.5,41.3,6.8,19.3,79.7,91.7,74.4,62.4,,,,,,,0.485,0.485,,,,,,,,,,0.0,1,476.0,1.0,,,,,75.0,3.0,4.31748811353631,1.0
Sean Mannion,sean mannion,2015,Oregon State,9522.0,78.9,77.6,71.3,5.6,3.0,6.9,8.9,2.76,61.8,7.2,24.5,43.5,-0.17,499.0,86.2,78.9,77.6,71.3,5.6,3.0,6.9,8.9,2.76,61.8,7.2,24.5,43.5,-0.17,499.0,86.2,63.3,74.5,1.9,23.8,73.7,77.6,67.5,79.6,,,,,,,0.156,0.156,,,,,,,,,,0.0,1,499.0,1.0,,,,,89.0,3.0,4.48863636973214,1.0
Bryce Petty,bryce petty,2015,Baylor,9536.0,86.3,83.0,72.9,5.8,2.4,9.0,12.0,2.38,62.8,4.7,22.7,49.7,0.16,470.0,107.5,86.3,83.0,72.9,5.8,2.4,9.0,12.0,2.38,62.8,4.7,22.7,49.7,0.16,470.0,107.5,60.3,51.8,4.8,21.6,75.0,91.0,67.6,87.4,,,,,,,0.368,0.368,,,,,,,,,,0.0,1,470.0,1.0,,,,,103.0,4.0,4.634728988229636,2.0
Jamison Crowder,jamison crowder,2015,Duke,9538.0,75.4,73.0,100.0,0.0,0.0,12.0,12.0,2.5,100.0,0.0,,100.0,2.25,1.0,156.3,75.4,73.0,100.0,0.0,0.0,12.0,12.0,2.5,100.0,0.0,,100.0,2.25,1.0,156.3,,,,,100.0,75.4,100.0,75.4,,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
David Cobb,david cobb,2015,Minnesota,9571.0,59.0,78.0,100.0,0.0,0.0,9.0,-4.0,3.2,100.0,0.0,0.0,50.0,-0.9,1.0,104.2,59.0,78.0,100.0,0.0,0.0,9.0,-4.0,3.2,100.0,0.0,0.0,50.0,-0.9,1.0,104.2,100.0,60.4,0.0,0.0,,57.7,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Brett Hundley,brett hundley,2015,UCLA,9580.0,74.0,72.6,78.1,4.1,3.1,7.9,7.7,2.83,68.2,8.3,31.3,47.8,0.09,492.0,105.2,74.0,72.6,78.1,4.1,3.1,7.9,7.7,2.83,68.2,8.3,31.3,47.8,0.09,492.0,105.2,63.3,38.4,7.3,31.3,80.3,84.7,73.3,59.5,,,,,,,0.284,0.284,,,,,,,,,,0.0,1,492.0,1.0,,,,,147.0,5.0,4.990432586778736,2.0
C.J. Uzomah,cj uzomah,2015,Auburn,9590.0,61.0,69.5,100.0,0.0,0.0,-1.0,-6.0,4.15,100.0,0.0,0.0,0.0,-1.26,2.0,79.2,61.0,69.5,100.0,0.0,0.0,-1.0,-6.0,4.15,100.0,0.0,0.0,0.0,-1.26,2.0,79.2,,,0.0,0.0,100.0,61.0,100.0,61.0,,,,,,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Evan Spencer,evan spencer,2015,Ohio State,9620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Joey Iosefa,joey iosefa,2015,Hawaii,9664.0,71.2,65.3,66.7,0.0,0.0,6.7,22.3,3.45,66.7,0.0,0.0,75.0,0.44,4.0,125.0,71.2,65.3,66.7,0.0,0.0,6.7,22.3,3.45,66.7,0.0,0.0,75.0,0.44,4.0,125.0,0.0,49.9,0.0,0.0,100.0,82.4,66.7,71.2,,,,,,,,,,,,,,,,,,,1,4.0,0.0,,,,,,,,
Trevor Siemian,trevor siemian,2015,Northwestern,9683.0,72.8,75.4,68.9,4.4,3.2,5.7,8.3,2.66,57.9,6.5,21.2,42.0,-0.21,443.0,68.1,72.8,75.4,68.9,4.4,3.2,5.7,8.3,2.66,57.9,6.5,21.2,42.0,-0.21,443.0,68.1,65.0,54.5,5.4,21.2,70.0,79.6,67.7,65.9,,,,,,,0.084,0.084,,,,,,,,,,0.0,1,443.0,1.0,,,,,250.0,7.0,5.521460917862246,3.0
Dylan Thompson,dylan thompson,2015,South Carolina,9696.0,75.6,73.3,68.5,4.4,3.9,7.9,10.5,2.74,59.6,4.7,15.0,45.3,0.07,488.0,93.6,75.6,73.3,68.5,4.4,3.9,7.9,10.5,2.74,59.6,4.7,15.0,45.3,0.07,488.0,93.6,53.3,46.9,4.9,15.0,73.6,87.8,69.2,76.4,,,,,,,0.31,0.31,,,,,,,,,,0.0,1,488.0,1.0,,,,,,,,
Bryan Bennett,bryan bennett,2015,SE Louisiana,9699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,-0.21,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Connor Halliday,connor halliday,2015,Washington State,9724.0,82.8,83.5,75.6,5.3,3.6,7.3,7.4,2.23,66.7,3.6,20.2,47.0,0.01,551.0,99.7,82.8,83.5,75.6,5.3,3.6,7.3,7.4,2.23,66.7,3.6,20.2,47.0,0.01,551.0,99.7,58.3,39.7,5.7,20.2,77.9,90.4,74.7,76.0,,,,,,,0.284,0.284,,,,,,,,,,0.0,1,551.0,1.0,,,,,,,,
Anthony Boone,anthony boone,2015,Duke,9751.0,58.4,60.3,66.7,3.6,4.3,5.9,8.6,2.22,55.7,2.1,9.7,42.1,-0.12,475.0,79.7,58.4,60.3,66.7,3.6,4.3,5.9,8.6,2.22,55.7,2.1,9.7,42.1,-0.12,475.0,79.7,44.4,43.3,3.6,9.7,71.3,64.5,61.3,57.5,,,,,,,0.121,0.121,,,,,,,,,,0.0,1,475.0,1.0,,,,,,,,
Matthew Miller,matthew miller,2015,Boise State,9788.0,90.8,79.3,50.0,0.0,0.0,3.5,17.5,3.05,50.0,0.0,0.0,50.0,1.15,2.0,97.9,90.8,79.3,50.0,0.0,0.0,3.5,17.5,3.05,50.0,0.0,0.0,50.0,1.15,2.0,97.9,0.0,76.2,0.0,0.0,100.0,79.0,50.0,90.8,,,,,,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Nick Marshall,nick marshall,2015,Auburn,9829.0,86.1,90.4,68.8,7.6,3.9,8.5,12.9,2.84,60.6,4.4,14.3,45.9,0.25,320.0,101.0,86.1,90.4,68.8,7.6,3.9,8.5,12.9,2.84,60.6,4.4,14.3,45.9,0.25,320.0,101.0,54.2,74.0,4.8,14.3,73.7,87.4,70.5,87.6,,,,,,,0.474,0.474,,,,,,,,,,0.0,1,320.0,1.0,,,,,,,,
Jake Waters,jake waters,2015,Kansas State,9833.0,87.8,82.5,74.9,5.6,3.1,8.8,9.9,2.97,65.7,7.3,26.4,51.8,0.27,451.0,104.4,87.8,82.5,74.9,5.6,3.1,8.8,9.9,2.97,65.7,7.3,26.4,51.8,0.27,451.0,104.4,66.2,55.2,3.7,25.6,76.9,91.7,70.6,74.7,,,,,,,0.431,0.431,,,,,,,,,,0.0,1,451.0,1.0,,,,,,,,
Akeem Hunt,akeem hunt,2015,Purdue,9839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Jameill Showers,jameill showers,2015,UTEP,9851.0,54.8,59.0,68.3,2.6,2.0,6.4,7.5,2.82,55.1,3.7,11.2,39.0,-0.08,326.0,79.9,54.8,59.0,68.3,2.6,2.0,6.4,7.5,2.82,55.10000000000001,3.7,11.2,39.0,-0.08,326.0,79.9,57.8,51.7,0.0,10.3,71.7,57.5,61.9,54.6,,,,,,,0.149,0.149,,,,,,,,,,0.0,1,326.0,1.0,,,,,,,,
Taylor Heinicke,taylor heinicke,2015,Old Dominion,9896.0,88.0,87.9,73.6,7.3,2.9,7.6,10.3,2.85,63.1,5.9,18.6,49.4,0.12,527.0,93.5,88.0,87.9,73.6,7.3,2.9,7.6,10.3,2.85,63.10000000000001,5.9,18.6,49.4,0.12,527.0,93.5,56.6,58.8,3.7,18.0,78.7,92.0,69.5,78.6,,,,,,,0.265,0.265,,,,,,,,,,0.0,1,527.0,1.0,,,,,,,,
Tyler Murphy,tyler murphy,2015,Boston College,9912.0,67.6,76.4,71.8,4.4,3.2,6.9,10.8,3.1,55.5,7.5,18.5,45.6,-0.09,293.0,77.7,67.6,76.4,71.8,4.4,3.2,6.9,10.8,3.1,55.5,7.5,18.5,45.6,-0.09,293.0,77.7,63.6,56.2,4.7,17.6,75.5,73.6,67.6,56.0,,,,,,,0.191,0.191,,,,,,,,,,0.0,1,293.0,1.0,,,,,,,,
Devin Gardner,devin gardner,2015,Michigan,9949.0,61.6,61.9,71.1,2.4,4.5,6.7,8.9,2.8,61.5,7.7,26.5,47.9,-0.25,349.0,70.9,61.6,61.9,71.1,2.4,4.5,6.7,8.9,2.8,61.5,7.7,26.5,47.9,-0.25,349.0,70.9,62.7,49.5,6.5,25.5,73.5,66.9,71.4,67.4,,,,,,,0.1,0.1,,,,,,,,,,0.0,1,349.0,1.0,,,,,,,,
Cody Fajardo,cody fajardo,2015,Nevada,9976.0,70.9,75.6,67.1,2.9,4.6,6.2,9.6,2.72,59.1,4.6,18.8,46.9,-0.09,455.0,80.4,70.9,75.6,67.1,2.9,4.6,6.2,9.6,2.72,59.1,4.6,18.8,46.9,-0.09,455.0,80.4,46.0,45.8,6.7,18.8,71.2,78.4,62.7,55.8,,,,,,,0.191,0.191,,,,,,,,,,0.0,1,455.0,1.0,,,,,,,,
Shane Carden,shane carden,2015,East Carolina,10001.0,81.3,80.6,73.0,2.9,2.2,7.6,8.9,2.78,63.0,4.8,14.5,50.5,0.14,683.0,95.5,81.3,80.6,73.0,2.9,2.2,7.6,8.9,2.78,63.0,4.8,14.5,50.5,0.14,683.0,95.5,63.8,54.9,3.4,14.5,76.2,90.3,70.9,74.6,,,,,,,0.318,0.318,,,,,,,,,,0.0,1,683.0,1.0,,,,,,,,
Darius Jennings,darius jennings,2015,Virginia,10038.0,55.4,74.8,,0.0,0.0,0.0,,6.25,0.0,50.0,50.0,0.0,-2.12,2.0,39.6,55.4,74.8,,0.0,0.0,0.0,,6.25,0.0,50.0,50.0,0.0,-2.12,2.0,39.6,,55.4,0.0,50.0,,,,55.4,,,,,,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Jake Heaps,jake heaps,2015,Miami,10085.0,51.5,51.7,66.7,0.0,0.0,3.9,6.3,2.36,46.2,0.0,0.0,28.6,-0.77,14.0,56.9,51.5,51.7,66.7,0.0,0.0,3.9,6.3,2.36,46.2,0.0,0.0,28.6,-0.7700000000000001,14.0,56.9,,,0.0,0.0,66.7,51.5,60.0,50.8,,,,,,,-0.162,-0.162,,,,,,,,,,0.0,1,14.0,0.0,,,,,,,,
Cole Stoudt,cole stoudt,2015,Clemson,10142.0,52.9,52.1,71.4,2.6,5.2,6.2,7.4,2.34,62.9,4.8,16.3,41.4,-0.23,335.0,76.5,52.9,52.1,71.4,2.6,5.2,6.2,7.4,2.34,62.9,4.8,16.3,41.4,-0.2299999999999999,335.0,76.5,50.8,45.1,5.0,16.3,76.8,58.1,67.7,64.4,,,,,,,0.111,0.111,,,,,,,,,,0.0,1,335.0,1.0,,,,,,,,
David Porter Jr.,david porter jr,2015,TCU,10149.0,28.6,62.8,50.0,0.0,50.0,27.5,-1.0,3.0,50.0,0.0,,50.0,1.01,2.0,135.4,28.6,62.8,50.0,0.0,50.0,27.5,-1.0,3.0,50.0,0.0,,50.0,1.01,2.0,135.4,,,,,50.0,28.6,,,,,,,,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Deshon Foxx,deshon foxx,2015,Connecticut,10160.0,54.9,56.8,33.3,0.0,0.0,1.3,10.7,3.25,33.3,0.0,0.0,25.0,-0.76,4.0,42.4,54.9,56.8,33.3,0.0,0.0,1.3,10.7,3.25,33.3,0.0,0.0,25.0,-0.76,4.0,42.4,,,0.0,0.0,33.3,54.9,50.0,54.6,,,,,,,,,,,,,,,,,,,1,4.0,0.0,,,,,,,,
Hutson Mason,hutson mason,2015,Georgia,10168.0,87.3,85.5,76.1,6.4,4.0,7.7,8.9,2.5,66.7,4.5,16.9,51.0,0.22,308.0,108.6,87.3,85.5,76.1,6.4,4.0,7.699999999999999,8.9,2.5,66.7,4.5,16.9,51.0,0.22,308.0,108.59999999999998,60.8,44.7,7.0,15.7,79.8,92.5,71.0,86.4,,,,,,,0.409,0.409,,,,,,,,,,0.0,1,308.0,1.0,,,,,,,,
Zach D'Orazio,zach dorazio,2015,Akron,10180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Jarrod West,jarrod west,2015,Syracuse,10309.0,76.6,71.2,100.0,0.0,0.0,0.0,26.0,4.5,0.0,0.0,0.0,0.0,-0.89,1.0,39.6,76.6,71.2,100.0,0.0,0.0,0.0,26.0,4.5,0.0,0.0,0.0,0.0,-0.89,1.0,39.6,100.0,76.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Ryan Williams,ryan williams,2015,Miami,10343.0,76.2,71.6,100.0,0.0,0.0,0.0,25.0,3.3,0.0,0.0,,0.0,-1.28,1.0,39.6,76.2,71.6,100.0,0.0,0.0,0.0,25.0,3.3,0.0,0.0,,0.0,-1.28,1.0,39.6,,,,,100.0,76.2,,,,,,,,,-0.703,-0.703,,,,,,,,,,0.0,1,1.0,0.0,,,,,,,,
Jared Goff,jared goff,2016,California,10635.0,91.4,92.4,74.0,6.4,3.9,8.9,10.4,2.49,63.8,4.5,15.1,52.4,0.27,580.0,109.2,88.56387665198238,89.2215859030837,72.92422907488987,6.008810572687224,3.215418502202643,8.362114537444933,10.302202643171809,2.470440528634361,62.72422907488987,4.5,14.75770925110132,50.8352422907489,0.2162114537444934,567.7753303964757,106.2171806167401,64.7,79.8,4.8,15.1,76.7,91.7,72.6,91.3,18.8,50.0,25.9,15.9,65.5,81.7,0.422,0.3924999999999999,76.0,215.0,4.82,27.0,110.0,7.17,4.47,,26.167763157894736,0.02950000000000008,2,1135.0,2.0,5.800000000000011,1.1000000000000005,1.4,2.200000000000003,1.0,1.0,0.0,1.0
Carson Wentz,carson wentz,2016,North Dakota State,10636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,0.233,77.0,237.0,4.77,30.5,118.0,6.86,4.15,,28.10102884128858,0.0,2,0.0,0.0,,,,,2.0,1.0,0.6931471805599453,1.0
