canonical_name,draft_season,pick,colleges,baseline_prob,model_prob,edge
Caleb Williams,2024,1.0,Oklahoma;USC,0.7411188920271794,0.7136892282360415,-0.02742966379113787
Jayden Daniels,2024,2.0,Arizona State;LSU,0.7383282489901214,0.6086531182948147,-0.12967513069530667
Drake Maye,2024,3.0,North Carolina,0.7355182591940244,0.5473728876399454,-0.18814537155407896
J.J. McCarthy,2024,10.0,Michigan,0.7153153988503753,0.34842121645577184,-0.3668941823946035
Bo Nix,2024,12.0,Auburn;Oregon,0.7093754403639132,0.3172749705443788,-0.3921004698195344
Spencer Rattler,2024,150.0,Oklahoma;South Carolina,0.24826480864058043,0.08025937289280766,-0.16800543574777277
Jordan Travis,2024,171.0,Florida State;Louisville,0.19587584825062543,0.07551158243636169,-0.12036426581426374
Devin Leary,2024,218.0,Kentucky;NC State,0.10972881785082357,0.061950435739691716,-0.047778382111131855
Michael Pratt,2024,245.0,Tulane,0.07692599513312151,0.058401890862970915,-0.018524104270150596
Cam Ward,2025,1.0,Incarnate Word;Miami;Washington State,0.7411188920271794,0.7047805599011278,-0.03633833212605164
Jaxson Dart,2025,25.0,Ole Miss;USC,0.669057237623921,0.22572514298389162,-0.4433320946400294
Tyler Shough,2025,40.0,Louisville;Oregon;Texas Tech,0.6192831543397501,0.1699678765565854,-0.4493152777831647
Dillon Gabriel,2025,94.0,Oklahoma;Oregon;UCF,0.4264876065421889,0.11047457975474156,-0.31601302678744736
Jalen Milroe,2025,92.0,Alabama,0.43359284133707626,0.10686217599313787,-0.3267306653439384
Shedeur Sanders,2025,144.0,Colorado,0.2648480052815817,0.08626256626146117,-0.17858543902012053
Kyle McCord,2025,181.0,Ohio State;Syracuse,0.1740462614192667,0.07506913678566,-0.09897712463360671
Will Howard,2025,185.0,Kansas State;Ohio State,0.16586851821918222,0.07029815025389559,-0.09557036796528663
Riley Leonard,2025,189.0,Duke;Notre Dame,0.15800151126696088,0.06797250104772544,-0.09002901021923544
Kurtis Rourke,2025,227.0,Indiana;Ohio,0.09761900919496835,0.0673215155633371,-0.030297493631631256
Graham Mertz,2025,197.0,Florida;Wisconsin,0.1431794687989433,0.06613911166045587,-0.07704035713848743
Quinn Ewers,2025,231.0,Texas,0.09262955220808416,0.062450416069114605,-0.03017913613896956
Fernando Mendoza,2026,1.0,California;Indiana,0.7411188920271794,0.7031313957297065,-0.03798749629747289
Ty Simpson,2026,13.0,Alabama,0.7063781830182163,0.3038120112774511,-0.4025661717407652
Carson Beck,2026,65.0,Georgia;Miami,0.5309962576616977,0.13345086156579158,-0.3975453960959061
Drew Allar,2026,76.0,Penn State,0.49117710072421483,0.11982580531385376,-0.37135129541036105
Cade Klubnik,2026,110.0,Clemson,0.37095822393116995,0.0930620698690552,-0.27789615406211476
Taylen Green,2026,182.0,Arkansas;Boise State,0.1719724510191836,0.06899565211516329,-0.10297679890402031
Cole Payton,2026,178.0,North Dakota State,0.18038605373330155,0.06844372320805416,-0.1119423305252474
Garrett Nussmeier,2026,249.0,LSU,0.07290873579486125,0.06029133400843749,-0.01261740178642376
Athan Kaliakmanis,2026,223.0,Minnesota;Rutgers,0.10284675913911243,0.059164842727524716,-0.04368191641158771
Behren Morton,2026,234.0,Texas Tech,0.08903896303830011,0.057132477723178136,-0.031906485315121975
