canonical_name,draft_season,pick,baseline_prob,v3_prob,edge
Caleb Williams,2024,1.0,0.7411188920271794,0.7224485400306291,-0.018670351996550316
Jayden Daniels,2024,2.0,0.7383282489901214,0.6142793130960771,-0.12404893589404431
Drake Maye,2024,3.0,0.7355182591940244,0.5642421122709687,-0.1712761469230557
J.J. McCarthy,2024,10.0,0.7153153988503753,0.35495618859386063,-0.3603592102565147
Bo Nix,2024,12.0,0.7093754403639132,0.3140094157714866,-0.3953660245924266
Spencer Rattler,2024,150.0,0.24826480864058043,0.07985944667903935,-0.16840536196154107
Jordan Travis,2024,171.0,0.19587584825062543,0.07871173685443185,-0.11716411139619358
Devin Leary,2024,218.0,0.10972881785082357,0.05774547865610953,-0.05198333919471404
Michael Pratt,2024,245.0,0.07692599513312151,0.05625331212775607,-0.02067268300536544
Cam Ward,2025,1.0,0.7411188920271794,0.6929134622036304,-0.04820542982354903
Jaxson Dart,2025,25.0,0.669057237623921,0.23112175403496835,-0.4379354835889526
Tyler Shough,2025,40.0,0.6192831543397501,0.16090406697902984,-0.4583790873607203
Dillon Gabriel,2025,94.0,0.4264876065421889,0.11961496249011544,-0.3068726440520735
Jalen Milroe,2025,92.0,0.43359284133707626,0.10444261899693302,-0.32915022234014324
Shedeur Sanders,2025,144.0,0.2648480052815817,0.09559353304295888,-0.16925447223862283
Kyle McCord,2025,181.0,0.1740462614192667,0.08285132563944234,-0.09119493577982438
Kurtis Rourke,2025,227.0,0.09761900919496835,0.0787705417720232,-0.01884846742294516
Will Howard,2025,185.0,0.16586851821918222,0.06936621335738545,-0.09650230486179677
Quinn Ewers,2025,231.0,0.09262955220808416,0.0643520388431912,-0.028277513364892967
Riley Leonard,2025,189.0,0.15800151126696088,0.06425088538479147,-0.09375062588216941
Graham Mertz,2025,197.0,0.1431794687989433,0.062011131698236445,-0.08116833710070687
Fernando Mendoza,2026,1.0,0.7411188920271794,0.6876586443583118,-0.05346024766886759
Ty Simpson,2026,13.0,0.7063781830182163,0.2960936966522426,-0.4102844863659737
Carson Beck,2026,65.0,0.5309962576616977,0.13634505233967137,-0.3946512053220263
Drew Allar,2026,76.0,0.49117710072421483,0.11786090873630677,-0.37331619198790805
Cade Klubnik,2026,110.0,0.37095822393116995,0.08444650821301797,-0.286511715718152
Taylen Green,2026,182.0,0.1719724510191836,0.06389981929090299,-0.1080726317282806
Garrett Nussmeier,2026,249.0,0.07290873579486125,0.06374444834809467,-0.009164287446766575
Cole Payton,2026,178.0,0.18038605373330155,0.060869712603387346,-0.1195163411299142
Athan Kaliakmanis,2026,223.0,0.10284675913911243,0.051193742997378285,-0.05165301614173414
Behren Morton,2026,234.0,0.08903896303830011,0.04888190122548253,-0.040157061812817585
