rank,player,position,posg,college,team,round,pick,age,draft_prior,football_score,profile_lift,pre_draft_prob_v6,early_evidence_prob,early_evidence_weight,success_prob_v6,model_confidence,feature_completeness,football_features_used_count,duplicate_count,data_flags,top_features_used,pre_draft_prob,success_prob,ras_score,pffx_yprr,pffx_g_off
1,Cam Ward,QB,QB,Miami (FL),TEN,1.0,1.0,23.0,0.825,0.13,0.034,0.859,,0,0.859,0.95,0.949,948,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.504,0.604,,7.0,95.2
2,Travis Hunter,WR,WR,Colorado,JAX,1.0,2.0,22.0,0.755,0.117,0.03,0.785,,0,0.785,0.95,0.921,596,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception|pff_receiving_concept_screen_yprr,0.63,0.441,,15.44,91.3
3,Abdul Carter,DE,DL,Penn St.,NYG,1.0,3.0,21.0,0.745,0.343,0.031,0.776,,0,0.776,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.599,0.666,,,
4,Will Campbell,OT,OL,LSU,NWE,1.0,4.0,21.0,0.695,0.153,0.049,0.744,,0,0.744,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.588,0.659,9.91,,82.8
5,Mason Graham,DT,DL,Michigan,CLE,1.0,5.0,22.0,0.685,0.057,0.005,0.69,,0,0.69,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.565,0.644,,,
6,Kelvin Banks,OL,OL,Texas,NOR,1.0,9.0,21.0,0.615,0.22,0.07,0.685,,0,0.685,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.55,0.634,8.34,,75.3
7,Tetairoa McMillan,WR,WR,Arizona,CAR,1.0,8.0,22.0,0.615,0.101,0.032,0.647,,0,0.647,0.95,0.981,635,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception,0.547,0.632,,15.23,94.0
8,Armand Membou,OL,OL,Missouri,NYJ,1.0,7.0,21.0,0.615,0.068,0.022,0.637,,0,0.637,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.747,0.762,9.89,,67.1
9,Colston Loveland,TE,TE,Michigan,CHI,1.0,10.0,21.0,0.585,0.079,0.025,0.61,,0,0.61,0.95,0.884,594,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception|pff_receiving_concept_screen_yprr,0.601,0.667,,13.0,86.8
10,Ashton Jeanty,RB,RB,Boise St.,LVR,1.0,6.0,21.0,0.585,0.013,0.004,0.589,,0,0.589,0.95,0.843,580,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception,0.607,0.671,,6.38,94.9
11,Tyler Warren,TE,TE,Penn St.,IND,1.0,14.0,23.0,0.505,0.197,0.079,0.584,,0,0.584,0.95,0.89,598,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception|pff_receiving_concept_screen_yprr,0.631,0.687,,12.78,96.1
12,Jalon Walker,DE,DL,Georgia,ATL,1.0,15.0,21.0,0.525,0.343,0.031,0.556,,0,0.556,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.624,0.682,,,
13,Walter Nolen,DT,DL,Mississippi,ARI,1.0,16.0,21.0,0.525,0.343,0.031,0.556,,0,0.556,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.624,0.437,,,
14,Mykel Williams,DL,DL,Georgia,SFO,1.0,11.0,21.0,0.525,0.343,0.031,0.556,,0,0.556,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.624,0.437,,,
15,Tyler Booker,OL,OL,Alabama,DAL,1.0,12.0,21.0,0.535,0.026,0.011,0.546,,0,0.546,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.572,0.648,3.67,,72.5
16,Kenneth Grant,DT,DL,Michigan,MIA,1.0,13.0,21.0,0.525,0.108,0.01,0.535,,0,0.535,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.602,0.668,7.18,,
